"Label","Alabama!!Total!!Estimate","Alabama!!Total!!Margin of Error","Alabama!!Percent!!Estimate","Alabama!!Percent!!Margin of Error","Alaska!!Total!!Estimate","Alaska!!Total!!Margin of Error","Alaska!!Percent!!Estimate","Alaska!!Percent!!Margin of Error","Arizona!!Total!!Estimate","Arizona!!Total!!Margin of Error","Arizona!!Percent!!Estimate","Arizona!!Percent!!Margin of Error","Arkansas!!Total!!Estimate","Arkansas!!Total!!Margin of Error","Arkansas!!Percent!!Estimate","Arkansas!!Percent!!Margin of Error","California!!Total!!Estimate","California!!Total!!Margin of Error","California!!Percent!!Estimate","California!!Percent!!Margin of Error","Colorado!!Total!!Estimate","Colorado!!Total!!Margin of Error","Colorado!!Percent!!Estimate","Colorado!!Percent!!Margin of Error","Connecticut!!Total!!Estimate","Connecticut!!Total!!Margin of Error","Connecticut!!Percent!!Estimate","Connecticut!!Percent!!Margin of Error","Delaware!!Total!!Estimate","Delaware!!Total!!Margin of Error","Delaware!!Percent!!Estimate","Delaware!!Percent!!Margin of Error","District of Columbia!!Total!!Estimate","District of Columbia!!Total!!Margin of Error","District of Columbia!!Percent!!Estimate","District of Columbia!!Percent!!Margin of Error","Florida!!Total!!Estimate","Florida!!Total!!Margin of Error","Florida!!Percent!!Estimate","Florida!!Percent!!Margin of Error","Georgia!!Total!!Estimate","Georgia!!Total!!Margin of Error","Georgia!!Percent!!Estimate","Georgia!!Percent!!Margin of Error","Hawaii!!Total!!Estimate","Hawaii!!Total!!Margin of Error","Hawaii!!Percent!!Estimate","Hawaii!!Percent!!Margin of Error","Idaho!!Total!!Estimate","Idaho!!Total!!Margin of Error","Idaho!!Percent!!Estimate","Idaho!!Percent!!Margin of Error","Illinois!!Total!!Estimate","Illinois!!Total!!Margin of Error","Illinois!!Percent!!Estimate","Illinois!!Percent!!Margin of Error","Indiana!!Total!!Estimate","Indiana!!Total!!Margin of Error","Indiana!!Percent!!Estimate","Indiana!!Percent!!Margin of Error","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Percent!!Estimate","Iowa!!Percent!!Margin of Error","Kansas!!Total!!Estimate","Kansas!!Total!!Margin of Error","Kansas!!Percent!!Estimate","Kansas!!Percent!!Margin of Error","Kentucky!!Total!!Estimate","Kentucky!!Total!!Margin of Error","Kentucky!!Percent!!Estimate","Kentucky!!Percent!!Margin of Error","Louisiana!!Total!!Estimate","Louisiana!!Total!!Margin of Error","Louisiana!!Percent!!Estimate","Louisiana!!Percent!!Margin of Error","Maine!!Total!!Estimate","Maine!!Total!!Margin of Error","Maine!!Percent!!Estimate","Maine!!Percent!!Margin of Error","Maryland!!Total!!Estimate","Maryland!!Total!!Margin of Error","Maryland!!Percent!!Estimate","Maryland!!Percent!!Margin of Error","Massachusetts!!Total!!Estimate","Massachusetts!!Total!!Margin of Error","Massachusetts!!Percent!!Estimate","Massachusetts!!Percent!!Margin of Error","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Percent!!Estimate","Michigan!!Percent!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Percent!!Estimate","Minnesota!!Percent!!Margin of Error","Mississippi!!Total!!Estimate","Mississippi!!Total!!Margin of Error","Mississippi!!Percent!!Estimate","Mississippi!!Percent!!Margin of Error","Missouri!!Total!!Estimate","Missouri!!Total!!Margin of Error","Missouri!!Percent!!Estimate","Missouri!!Percent!!Margin of Error","Montana!!Total!!Estimate","Montana!!Total!!Margin of Error","Montana!!Percent!!Estimate","Montana!!Percent!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Percent!!Estimate","Nebraska!!Percent!!Margin of Error","Nevada!!Total!!Estimate","Nevada!!Total!!Margin of Error","Nevada!!Percent!!Estimate","Nevada!!Percent!!Margin of Error","New Hampshire!!Total!!Estimate","New Hampshire!!Total!!Margin of Error","New Hampshire!!Percent!!Estimate","New Hampshire!!Percent!!Margin of Error","New Jersey!!Total!!Estimate","New Jersey!!Total!!Margin of Error","New Jersey!!Percent!!Estimate","New Jersey!!Percent!!Margin of Error","New Mexico!!Total!!Estimate","New Mexico!!Total!!Margin of Error","New Mexico!!Percent!!Estimate","New Mexico!!Percent!!Margin of Error","New York!!Total!!Estimate","New York!!Total!!Margin of Error","New York!!Percent!!Estimate","New York!!Percent!!Margin of Error","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Percent!!Estimate","North Carolina!!Percent!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Percent!!Estimate","North Dakota!!Percent!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!Percent!!Estimate","Ohio!!Percent!!Margin of Error","Oklahoma!!Total!!Estimate","Oklahoma!!Total!!Margin of Error","Oklahoma!!Percent!!Estimate","Oklahoma!!Percent!!Margin of Error","Oregon!!Total!!Estimate","Oregon!!Total!!Margin of Error","Oregon!!Percent!!Estimate","Oregon!!Percent!!Margin of Error","Pennsylvania!!Total!!Estimate","Pennsylvania!!Total!!Margin of Error","Pennsylvania!!Percent!!Estimate","Pennsylvania!!Percent!!Margin of Error","Rhode Island!!Total!!Estimate","Rhode Island!!Total!!Margin of Error","Rhode Island!!Percent!!Estimate","Rhode Island!!Percent!!Margin of Error","South Carolina!!Total!!Estimate","South Carolina!!Total!!Margin of Error","South Carolina!!Percent!!Estimate","South Carolina!!Percent!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Percent!!Estimate","South Dakota!!Percent!!Margin of Error","Tennessee!!Total!!Estimate","Tennessee!!Total!!Margin of Error","Tennessee!!Percent!!Estimate","Tennessee!!Percent!!Margin of Error","Texas!!Total!!Estimate","Texas!!Total!!Margin of Error","Texas!!Percent!!Estimate","Texas!!Percent!!Margin of Error","Utah!!Total!!Estimate","Utah!!Total!!Margin of Error","Utah!!Percent!!Estimate","Utah!!Percent!!Margin of Error","Vermont!!Total!!Estimate","Vermont!!Total!!Margin of Error","Vermont!!Percent!!Estimate","Vermont!!Percent!!Margin of Error","Virginia!!Total!!Estimate","Virginia!!Total!!Margin of Error","Virginia!!Percent!!Estimate","Virginia!!Percent!!Margin of Error","Washington!!Total!!Estimate","Washington!!Total!!Margin of Error","Washington!!Percent!!Estimate","Washington!!Percent!!Margin of Error","West Virginia!!Total!!Estimate","West Virginia!!Total!!Margin of Error","West Virginia!!Percent!!Estimate","West Virginia!!Percent!!Margin of Error","Wisconsin!!Total!!Estimate","Wisconsin!!Total!!Margin of Error","Wisconsin!!Percent!!Estimate","Wisconsin!!Percent!!Margin of Error","Wyoming!!Total!!Estimate","Wyoming!!Total!!Margin of Error","Wyoming!!Percent!!Estimate","Wyoming!!Percent!!Margin of Error","Puerto Rico!!Total!!Estimate","Puerto Rico!!Total!!Margin of Error","Puerto Rico!!Percent!!Estimate","Puerto Rico!!Percent!!Margin of Error"
"Citizens 18 years and over","3,688,249","±5,643","(X)","(X)","531,653","±3,005","(X)","(X)","4,895,706","±14,005","(X)","(X)","2,207,894","±4,945","(X)","(X)","25,650,455","±39,934","(X)","(X)","4,057,437","±9,372","(X)","(X)","2,611,667","±9,339","(X)","(X)","709,999","±4,015","(X)","(X)","510,514","±4,960","(X)","(X)","15,014,950","±31,938","(X)","(X)","7,362,615","±15,328","(X)","(X)","1,025,548","±7,912","(X)","(X)","1,219,481","±4,819","(X)","(X)","9,055,927","±16,897","(X)","(X)","4,899,251","±8,820","(X)","(X)","2,325,355","±5,220","(X)","(X)","2,091,261","±5,682","(X)","(X)","3,350,956","±6,339","(X)","(X)","3,469,016","±7,138","(X)","(X)","1,064,497","±2,550","(X)","(X)","4,310,864","±13,483","(X)","(X)","4,993,001","±15,115","(X)","(X)","7,481,928","±10,585","(X)","(X)","4,079,652","±8,062","(X)","(X)","2,234,722","±4,641","(X)","(X)","4,606,843","±7,507","(X)","(X)","810,760","±1,990","(X)","(X)","1,368,000","±4,623","(X)","(X)","2,031,213","±9,801","(X)","(X)","1,048,883","±3,621","(X)","(X)","6,199,409","±19,163","(X)","(X)","1,493,318","±7,504","(X)","(X)","13,866,648","±25,883","(X)","(X)","7,509,879","±14,198","(X)","(X)","564,475","±2,695","(X)","(X)","8,830,185","±11,095","(X)","(X)","2,835,451","±6,224","(X)","(X)","3,060,328","±9,788","(X)","(X)","9,764,119","±12,718","(X)","(X)","792,337","±5,553","(X)","(X)","3,799,298","±6,431","(X)","(X)","641,666","±2,362","(X)","(X)","5,016,103","±9,364","(X)","(X)","18,174,345","±36,778","(X)","(X)","2,028,176","±6,796","(X)","(X)","494,550","±1,901","(X)","(X)","6,145,893","±15,649","(X)","(X)","5,259,892","±14,007","(X)","(X)","1,428,859","±2,924","(X)","(X)","4,375,063","±7,956","(X)","(X)","428,379","±2,729","(X)","(X)","2,636,949","±4,608","(X)","(X)"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    18 to 29 years","771,482","±5,452","20.9%","±0.1","130,346","±2,366","24.5%","±0.4","1,067,740","±7,532","21.8%","±0.1","463,969","±3,653","21.0%","±0.2","6,059,901","±21,020","23.6%","±0.1","893,000","±4,756","22.0%","±0.1","521,117","±4,528","20.0%","±0.2","141,024","±2,224","19.9%","±0.3","142,877","±2,674","28.0%","±0.4","2,834,898","±14,840","18.9%","±0.1","1,626,370","±10,207","22.1%","±0.1","212,732","±2,817","20.7%","±0.2","262,705","±3,118","21.5%","±0.2","1,929,120","±7,567","21.3%","±0.1","1,043,652","±5,264","21.3%","±0.1","490,390","±3,365","21.1%","±0.1","464,390","±4,201","22.2%","±0.2","694,326","±4,736","20.7%","±0.1","756,656","±5,044","21.8%","±0.1","185,480","±1,995","17.4%","±0.2","871,222","±6,144","20.2%","±0.1","1,067,164","±7,490","21.4%","±0.1","1,556,537","±5,554","20.8%","±0.1","821,292","±5,150","20.1%","±0.1","489,327","±4,020","21.9%","±0.2","958,226","±4,321","20.8%","±0.1","161,862","±1,734","20.0%","±0.2","296,847","±2,424","21.7%","±0.2","421,348","±4,464","20.7%","±0.2","200,800","±2,192","19.1%","±0.2","1,204,348","±8,971","19.4%","±0.1","324,209","±4,376","21.7%","±0.3","3,012,070","±10,860","21.7%","±0.1","1,576,345","±7,121","21.0%","±0.1","139,846","±2,185","24.8%","±0.4","1,801,486","±6,049","20.4%","±0.1","618,434","±4,093","21.8%","±0.1","609,579","±4,519","19.9%","±0.1","1,944,387","±6,498","19.9%","±0.1","175,395","±3,502","22.1%","±0.4","792,807","±4,728","20.9%","±0.1","135,536","±2,192","21.1%","±0.3","1,045,612","±5,610","20.8%","±0.1","4,292,119","±17,817","23.6%","±0.1","549,078","±4,220","27.1%","±0.2","100,951","±1,602","20.4%","±0.3","1,297,922","±9,283","21.1%","±0.1","1,103,542","±6,988","21.0%","±0.1","266,495","±2,193","18.7%","±0.1","884,238","±4,097","20.2%","±0.1","88,687","±1,723","20.7%","±0.4","537,294","±2,203","20.4%","±0.1"
"    30 to 44 years","859,001","±5,624","23.3%","±0.1","143,427","±2,549","27.0%","±0.5","1,133,448","±8,665","23.2%","±0.2","515,699","±5,030","23.4%","±0.2","6,253,003","±21,382","24.4%","±0.1","1,069,980","±7,035","26.4%","±0.1","552,179","±6,061","21.1%","±0.2","149,325","±2,472","21.0%","±0.3","153,101","±3,147","30.0%","±0.5","3,230,159","±16,065","21.5%","±0.1","1,822,299","±13,137","24.8%","±0.2","250,088","±3,697","24.4%","±0.3","302,786","±3,657","24.8%","±0.3","2,158,404","±10,569","23.8%","±0.1","1,160,228","±5,797","23.7%","±0.1","531,754","±3,815","22.9%","±0.2","492,678","±4,079","23.6%","±0.2","792,195","±4,483","23.6%","±0.1","865,139","±6,621","24.9%","±0.2","223,843","±1,964","21.0%","±0.2","1,015,979","±8,235","23.6%","±0.2","1,113,103","±9,713","22.3%","±0.2","1,632,889","±6,422","21.8%","±0.1","993,587","±5,600","24.4%","±0.1","537,540","±6,107","24.1%","±0.3","1,079,299","±5,466","23.4%","±0.1","187,346","±2,477","23.1%","±0.3","330,487","±2,620","24.2%","±0.2","494,724","±5,198","24.4%","±0.2","219,542","±2,377","20.9%","±0.2","1,374,208","±10,616","22.2%","±0.1","348,711","±5,999","23.4%","±0.4","3,181,438","±14,878","22.9%","±0.1","1,734,880","±10,448","23.1%","±0.1","136,826","±1,964","24.2%","±0.3","2,018,484","±7,125","22.9%","±0.1","696,776","±4,999","24.6%","±0.2","746,253","±6,286","24.4%","±0.2","2,156,514","±7,814","22.1%","±0.1","170,789","±3,245","21.6%","±0.3","866,585","±6,271","22.8%","±0.2","151,061","±2,012","23.5%","±0.3","1,181,407","±6,044","23.6%","±0.1","4,746,164","±25,528","26.1%","±0.1","576,154","±4,642","28.4%","±0.2","101,703","±1,027","20.6%","±0.2","1,489,845","±8,406","24.2%","±0.1","1,300,519","±7,327","24.7%","±0.1","316,766","±2,218","22.2%","±0.2","1,000,545","±5,687","22.9%","±0.1","105,718","±2,104","24.7%","±0.5","604,955","±4,596","22.9%","±0.2"
"    45 to 64 years","1,260,686","±5,748","34.2%","±0.1","177,019","±2,684","33.3%","±0.5","1,544,874","±6,620","31.6%","±0.1","736,006","±4,025","33.3%","±0.2","8,296,127","±22,419","32.3%","±0.1","1,339,310","±5,582","33.0%","±0.1","956,672","±4,763","36.6%","±0.2","248,770","±2,134","35.0%","±0.3","133,231","±2,389","26.1%","±0.4","4,960,653","±17,749","33.0%","±0.1","2,542,345","±11,042","34.5%","±0.1","323,234","±3,933","31.5%","±0.3","395,120","±3,430","32.4%","±0.2","3,094,624","±9,417","34.2%","±0.1","1,679,759","±5,399","34.3%","±0.1","782,193","±3,931","33.6%","±0.1","691,272","±3,831","33.1%","±0.2","1,159,000","±3,802","34.6%","±0.1","1,155,734","±5,631","33.3%","±0.2","390,899","±1,949","36.7%","±0.2","1,549,478","±6,616","35.9%","±0.1","1,746,639","±6,966","35.0%","±0.1","2,653,213","±6,307","35.5%","±0.1","1,418,159","±4,120","34.8%","±0.1","744,143","±5,827","33.3%","±0.3","1,567,395","±5,372","34.0%","±0.1","272,370","±1,973","33.6%","±0.3","449,990","±3,142","32.9%","±0.2","678,710","±5,173","33.4%","±0.2","395,691","±2,441","37.7%","±0.2","2,273,444","±8,821","36.7%","±0.1","480,328","±5,631","32.2%","±0.4","4,701,756","±14,573","33.9%","±0.1","2,590,609","±9,617","34.5%","±0.1","175,498","±2,060","31.1%","±0.3","3,084,651","±5,057","34.9%","±0.1","926,782","±4,383","32.7%","±0.1","1,010,146","±5,718","33.0%","±0.2","3,418,193","±7,494","35.0%","±0.1","274,360","±2,705","34.6%","±0.4","1,281,172","±5,795","33.7%","±0.1","213,580","±1,839","33.3%","±0.3","1,726,133","±5,493","34.4%","±0.1","5,889,232","±16,436","32.4%","±0.1","574,857","±4,168","28.3%","±0.2","175,626","±1,414","35.5%","±0.3","2,118,564","±8,351","34.5%","±0.1","1,777,254","±7,361","33.8%","±0.1","496,450","±3,068","34.7%","±0.2","1,543,713","±4,355","35.3%","±0.1","144,273","±1,728","33.7%","±0.4","841,834","±4,554","31.9%","±0.2"
"    65 years and over","797,080","±2,899","21.6%","±0.1","80,861","±1,212","15.2%","±0.2","1,149,644","±4,679","23.5%","±0.1","492,220","±2,232","22.3%","±0.1","5,041,424","±11,786","19.7%","±0.1","755,147","±3,193","18.6%","±0.1","581,699","±2,793","22.3%","±0.1","170,880","±1,098","24.1%","±0.2","81,305","±860","15.9%","±0.2","3,989,240","±12,051","26.6%","±0.1","1,371,601","±4,455","18.6%","±0.1","239,494","±2,425","23.4%","±0.2","258,870","±1,943","21.2%","±0.2","1,873,779","±5,597","20.7%","±0.1","1,015,612","±3,379","20.7%","±0.1","521,018","±1,534","22.4%","±0.1","442,921","±2,092","21.2%","±0.1","705,435","±2,442","21.1%","±0.1","691,487","±2,815","19.9%","±0.1","264,275","±1,313","24.8%","±0.1","874,185","±2,989","20.3%","±0.1","1,066,095","±3,847","21.4%","±0.1","1,639,289","±3,086","21.9%","±0.1","846,614","±2,199","20.8%","±0.1","463,712","±2,693","20.8%","±0.1","1,001,923","±2,733","21.7%","±0.1","189,182","±1,418","23.3%","±0.2","290,676","±1,413","21.2%","±0.1","436,431","±2,628","21.5%","±0.1","232,850","±1,212","22.2%","±0.1","1,347,409","±4,714","21.7%","±0.1","340,070","±2,701","22.8%","±0.2","2,971,384","±7,959","21.4%","±0.1","1,608,045","±4,116","21.4%","±0.1","112,305","±903","19.9%","±0.2","1,925,564","±3,316","21.8%","±0.1","593,459","±2,006","20.9%","±0.1","694,350","±3,360","22.7%","±0.1","2,245,025","±4,441","23.0%","±0.1","171,793","±1,806","21.7%","±0.2","858,734","±2,553","22.6%","±0.1","141,489","±1,084","22.1%","±0.2","1,062,951","±3,355","21.2%","±0.1","3,246,830","±9,027","17.9%","±0.1","328,087","±1,976","16.2%","±0.1","116,270","±872","23.5%","±0.2","1,239,562","±5,087","20.2%","±0.1","1,078,577","±4,068","20.5%","±0.1","349,148","±1,642","24.4%","±0.1","946,567","±2,721","21.6%","±0.1","89,701","±1,140","20.9%","±0.2","652,866","±1,222","24.8%","±0.1"
"SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Male","1,750,050","±4,591","47.4%","±0.1","281,264","±1,631","52.9%","±0.2","2,412,036","±9,375","49.3%","±0.1","1,065,667","±3,607","48.3%","±0.1","12,596,031","±26,446","49.1%","±0.1","2,020,660","±6,544","49.8%","±0.1","1,252,709","±5,839","48.0%","±0.1","337,892","±2,592","47.6%","±0.2","236,100","±2,958","46.2%","±0.4","7,226,269","±17,202","48.1%","±0.1","3,500,441","±11,012","47.5%","±0.1","519,972","±4,422","50.7%","±0.2","607,218","±4,003","49.8%","±0.2","4,382,552","±10,825","48.4%","±0.1","2,376,335","±6,107","48.5%","±0.1","1,140,812","±3,707","49.1%","±0.1","1,029,480","±3,863","49.2%","±0.1","1,623,917","±4,551","48.5%","±0.1","1,660,343","±4,664","47.9%","±0.1","516,252","±1,931","48.5%","±0.1","2,047,724","±8,480","47.5%","±0.1","2,381,937","±8,994","47.7%","±0.1","3,636,222","±7,567","48.6%","±0.1","2,012,201","±4,508","49.3%","±0.1","1,059,143","±3,999","47.4%","±0.1","2,230,438","±5,670","48.4%","±0.1","406,075","±2,103","50.1%","±0.2","674,445","±3,426","49.3%","±0.2","1,012,511","±6,389","49.8%","±0.2","514,562","±2,603","49.1%","±0.2","2,974,541","±13,029","48.0%","±0.1","734,610","±4,228","49.2%","±0.2","6,598,149","±17,286","47.6%","±0.1","3,581,883","±8,234","47.7%","±0.1","290,593","±2,367","51.5%","±0.3","4,259,645","±7,214","48.2%","±0.1","1,379,695","±4,339","48.7%","±0.1","1,498,352","±7,063","49.0%","±0.1","4,711,435","±7,958","48.3%","±0.1","376,988","±3,890","47.6%","±0.3","1,807,984","±5,140","47.6%","±0.1","321,542","±2,550","50.1%","±0.3","2,404,125","±6,687","47.9%","±0.1","8,883,274","±26,172","48.9%","±0.1","1,011,388","±3,856","49.9%","±0.1","242,302","±1,310","49.0%","±0.2","2,991,551","±8,707","48.7%","±0.1","2,602,905","±9,410","49.5%","±0.1","698,909","±2,173","48.9%","±0.1","2,154,024","±4,934","49.2%","±0.1","217,735","±2,119","50.8%","±0.3","1,226,539","±3,110","46.5%","±0.1"
"    Female","1,938,199","±3,826","52.6%","±0.1","250,389","±2,104","47.1%","±0.2","2,483,670","±9,203","50.7%","±0.1","1,142,227","±3,105","51.7%","±0.1","13,054,424","±22,952","50.9%","±0.1","2,036,777","±6,054","50.2%","±0.1","1,358,958","±5,889","52.0%","±0.1","372,107","±2,367","52.4%","±0.2","274,414","±3,244","53.8%","±0.4","7,788,681","±20,490","51.9%","±0.1","3,862,174","±8,489","52.5%","±0.1","505,576","±4,921","49.3%","±0.2","612,263","±2,973","50.2%","±0.2","4,673,375","±10,333","51.6%","±0.1","2,522,916","±7,052","51.5%","±0.1","1,184,543","±3,565","50.9%","±0.1","1,061,781","±4,115","50.8%","±0.1","1,727,039","±4,316","51.5%","±0.1","1,808,673","±4,887","52.1%","±0.1","548,245","±1,861","51.5%","±0.1","2,263,140","±8,037","52.5%","±0.1","2,611,064","±9,383","52.3%","±0.1","3,845,706","±5,770","51.4%","±0.1","2,067,451","±5,264","50.7%","±0.1","1,175,579","±3,073","52.6%","±0.1","2,376,405","±4,411","51.6%","±0.1","404,685","±1,879","49.9%","±0.2","693,555","±2,757","50.7%","±0.2","1,018,702","±5,631","50.2%","±0.2","534,321","±2,397","50.9%","±0.2","3,224,868","±10,380","52.0%","±0.1","758,708","±5,364","50.8%","±0.2","7,268,499","±14,194","52.4%","±0.1","3,927,996","±8,993","52.3%","±0.1","273,882","±1,895","48.5%","±0.3","4,570,540","±6,950","51.8%","±0.1","1,455,756","±3,915","51.3%","±0.1","1,561,976","±5,701","51.0%","±0.1","5,052,684","±8,574","51.7%","±0.1","415,349","±3,397","52.4%","±0.3","1,991,314","±3,666","52.4%","±0.1","320,124","±2,034","49.9%","±0.3","2,611,978","±5,382","52.1%","±0.1","9,291,071","±21,187","51.1%","±0.1","1,016,788","±4,891","50.1%","±0.1","252,248","±1,321","51.0%","±0.2","3,154,342","±10,615","51.3%","±0.1","2,656,987","±8,407","50.5%","±0.1","729,950","±1,989","51.1%","±0.1","2,221,039","±4,681","50.8%","±0.1","210,644","±1,896","49.2%","±0.3","1,410,410","±3,278","53.5%","±0.1"
"RACE AND HISPANIC ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
