"Label","Alabama!!Total!!Estimate","Alaska!!Total!!Estimate","Arizona!!Total!!Estimate","Arkansas!!Total!!Estimate","California!!Total!!Estimate","Colorado!!Total!!Estimate","Connecticut!!Total!!Estimate","Delaware!!Total!!Estimate","District of Columbia!!Total!!Estimate","Florida!!Total!!Estimate","Georgia!!Total!!Estimate","Hawaii!!Total!!Estimate","Idaho!!Total!!Estimate","Illinois!!Total!!Estimate","Indiana!!Total!!Estimate","Iowa!!Total!!Estimate","Kansas!!Total!!Estimate","Kentucky!!Total!!Estimate","Louisiana!!Total!!Estimate","Maine!!Total!!Estimate","Maryland!!Total!!Estimate","Massachusetts!!Total!!Estimate","Michigan!!Total!!Estimate","Minnesota!!Total!!Estimate","Mississippi!!Total!!Estimate","Missouri!!Total!!Estimate","Montana!!Total!!Estimate","Nebraska!!Total!!Estimate","Nevada!!Total!!Estimate","New Hampshire!!Total!!Estimate","New Jersey!!Total!!Estimate","New Mexico!!Total!!Estimate","New York!!Total!!Estimate","North Carolina!!Total!!Estimate","North Dakota!!Total!!Estimate","Ohio!!Total!!Estimate","Oklahoma!!Total!!Estimate","Oregon!!Total!!Estimate","Pennsylvania!!Total!!Estimate","Rhode Island!!Total!!Estimate","South Carolina!!Total!!Estimate","South Dakota!!Total!!Estimate","Tennessee!!Total!!Estimate","Texas!!Total!!Estimate","Utah!!Total!!Estimate","Vermont!!Total!!Estimate","Virginia!!Total!!Estimate","Washington!!Total!!Estimate","West Virginia!!Total!!Estimate","Wisconsin!!Total!!Estimate","Wyoming!!Total!!Estimate","Puerto Rico!!Total!!Estimate"
"Citizens 18 years and over","3,688,249","531,653","4,895,706","2,207,894","25,650,455","4,057,437","2,611,667","709,999","510,514","15,014,950","7,362,615","1,025,548","1,219,481","9,055,927","4,899,251","2,325,355","2,091,261","3,350,956","3,469,016","1,064,497","4,310,864","4,993,001","7,481,928","4,079,652","2,234,722","4,606,843","810,760","1,368,000","2,031,213","1,048,883","6,199,409","1,493,318","13,866,648","7,509,879","564,475","8,830,185","2,835,451","3,060,328","9,764,119","792,337","3,799,298","641,666","5,016,103","18,174,345","2,028,176","494,550","6,145,893","5,259,892","1,428,859","4,375,063","428,379","2,636,949"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    18 to 29 years","771,482","130,346","1,067,740","463,969","6,059,901","893,000","521,117","141,024","142,877","2,834,898","1,626,370","212,732","262,705","1,929,120","1,043,652","490,390","464,390","694,326","756,656","185,480","871,222","1,067,164","1,556,537","821,292","489,327","958,226","161,862","296,847","421,348","200,800","1,204,348","324,209","3,012,070","1,576,345","139,846","1,801,486","618,434","609,579","1,944,387","175,395","792,807","135,536","1,045,612","4,292,119","549,078","100,951","1,297,922","1,103,542","266,495","884,238","88,687","537,294"
"    30 to 44 years","859,001","143,427","1,133,448","515,699","6,253,003","1,069,980","552,179","149,325","153,101","3,230,159","1,822,299","250,088","302,786","2,158,404","1,160,228","531,754","492,678","792,195","865,139","223,843","1,015,979","1,113,103","1,632,889","993,587","537,540","1,079,299","187,346","330,487","494,724","219,542","1,374,208","348,711","3,181,438","1,734,880","136,826","2,018,484","696,776","746,253","2,156,514","170,789","866,585","151,061","1,181,407","4,746,164","576,154","101,703","1,489,845","1,300,519","316,766","1,000,545","105,718","604,955"
"    45 to 64 years","1,260,686","177,019","1,544,874","736,006","8,296,127","1,339,310","956,672","248,770","133,231","4,960,653","2,542,345","323,234","395,120","3,094,624","1,679,759","782,193","691,272","1,159,000","1,155,734","390,899","1,549,478","1,746,639","2,653,213","1,418,159","744,143","1,567,395","272,370","449,990","678,710","395,691","2,273,444","480,328","4,701,756","2,590,609","175,498","3,084,651","926,782","1,010,146","3,418,193","274,360","1,281,172","213,580","1,726,133","5,889,232","574,857","175,626","2,118,564","1,777,254","496,450","1,543,713","144,273","841,834"
"    65 years and over","797,080","80,861","1,149,644","492,220","5,041,424","755,147","581,699","170,880","81,305","3,989,240","1,371,601","239,494","258,870","1,873,779","1,015,612","521,018","442,921","705,435","691,487","264,275","874,185","1,066,095","1,639,289","846,614","463,712","1,001,923","189,182","290,676","436,431","232,850","1,347,409","340,070","2,971,384","1,608,045","112,305","1,925,564","593,459","694,350","2,245,025","171,793","858,734","141,489","1,062,951","3,246,830","328,087","116,270","1,239,562","1,078,577","349,148","946,567","89,701","652,866"
"SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Male","1,750,050","281,264","2,412,036","1,065,667","12,596,031","2,020,660","1,252,709","337,892","236,100","7,226,269","3,500,441","519,972","607,218","4,382,552","2,376,335","1,140,812","1,029,480","1,623,917","1,660,343","516,252","2,047,724","2,381,937","3,636,222","2,012,201","1,059,143","2,230,438","406,075","674,445","1,012,511","514,562","2,974,541","734,610","6,598,149","3,581,883","290,593","4,259,645","1,379,695","1,498,352","4,711,435","376,988","1,807,984","321,542","2,404,125","8,883,274","1,011,388","242,302","2,991,551","2,602,905","698,909","2,154,024","217,735","1,226,539"
"    Female","1,938,199","250,389","2,483,670","1,142,227","13,054,424","2,036,777","1,358,958","372,107","274,414","7,788,681","3,862,174","505,576","612,263","4,673,375","2,522,916","1,184,543","1,061,781","1,727,039","1,808,673","548,245","2,263,140","2,611,064","3,845,706","2,067,451","1,175,579","2,376,405","404,685","693,555","1,018,702","534,321","3,224,868","758,708","7,268,499","3,927,996","273,882","4,570,540","1,455,756","1,561,976","5,052,684","415,349","1,991,314","320,124","2,611,978","9,291,071","1,016,788","252,248","3,154,342","2,656,987","729,950","2,221,039","210,644","1,410,410"
"RACE AND HISPANIC ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
