"Label","Alaska!!Total!!Estimate","Alaska!!Total!!Margin of Error","Alaska!!Percent!!Estimate","Alaska!!Percent!!Margin of Error","Maine!!Total!!Estimate","Maine!!Total!!Margin of Error","Maine!!Percent!!Estimate","Maine!!Percent!!Margin of Error","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Percent!!Estimate","North Carolina!!Percent!!Margin of Error","Missouri!!Total!!Estimate","Missouri!!Total!!Margin of Error","Missouri!!Percent!!Estimate","Missouri!!Percent!!Margin of Error","Pennsylvania!!Total!!Estimate","Pennsylvania!!Total!!Margin of Error","Pennsylvania!!Percent!!Estimate","Pennsylvania!!Percent!!Margin of Error","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Percent!!Estimate","Michigan!!Percent!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Percent!!Estimate","Nebraska!!Percent!!Margin of Error","Oregon!!Total!!Estimate","Oregon!!Total!!Margin of Error","Oregon!!Percent!!Estimate","Oregon!!Percent!!Margin of Error","Wyoming!!Total!!Estimate","Wyoming!!Total!!Margin of Error","Wyoming!!Percent!!Estimate","Wyoming!!Percent!!Margin of Error","California!!Total!!Estimate","California!!Total!!Margin of Error","California!!Percent!!Estimate","California!!Percent!!Margin of Error","Mississippi!!Total!!Estimate","Mississippi!!Total!!Margin of Error","Mississippi!!Percent!!Estimate","Mississippi!!Percent!!Margin of Error","Connecticut!!Total!!Estimate","Connecticut!!Total!!Margin of Error","Connecticut!!Percent!!Estimate","Connecticut!!Percent!!Margin of Error","Texas!!Total!!Estimate","Texas!!Total!!Margin of Error","Texas!!Percent!!Estimate","Texas!!Percent!!Margin of Error","Idaho!!Total!!Estimate","Idaho!!Total!!Margin of Error","Idaho!!Percent!!Estimate","Idaho!!Percent!!Margin of Error","Maryland!!Total!!Estimate","Maryland!!Total!!Margin of Error","Maryland!!Percent!!Estimate","Maryland!!Percent!!Margin of Error","New Mexico!!Total!!Estimate","New Mexico!!Total!!Margin of Error","New Mexico!!Percent!!Estimate","New Mexico!!Percent!!Margin of Error","Alabama!!Total!!Estimate","Alabama!!Total!!Margin of Error","Alabama!!Percent!!Estimate","Alabama!!Percent!!Margin of Error","Tennessee!!Total!!Estimate","Tennessee!!Total!!Margin of Error","Tennessee!!Percent!!Estimate","Tennessee!!Percent!!Margin of Error","Vermont!!Total!!Estimate","Vermont!!Total!!Margin of Error","Vermont!!Percent!!Estimate","Vermont!!Percent!!Margin of Error","Nevada!!Total!!Estimate","Nevada!!Total!!Margin of Error","Nevada!!Percent!!Estimate","Nevada!!Percent!!Margin of Error","West Virginia!!Total!!Estimate","West Virginia!!Total!!Margin of Error","West Virginia!!Percent!!Estimate","West Virginia!!Percent!!Margin of Error","Oklahoma!!Total!!Estimate","Oklahoma!!Total!!Margin of Error","Oklahoma!!Percent!!Estimate","Oklahoma!!Percent!!Margin of Error","Wisconsin!!Total!!Estimate","Wisconsin!!Total!!Margin of Error","Wisconsin!!Percent!!Estimate","Wisconsin!!Percent!!Margin of Error","Puerto Rico!!Total!!Estimate","Puerto Rico!!Total!!Margin of Error","Puerto Rico!!Percent!!Estimate","Puerto Rico!!Percent!!Margin of Error","Kansas!!Total!!Estimate","Kansas!!Total!!Margin of Error","Kansas!!Percent!!Estimate","Kansas!!Percent!!Margin of Error","Virginia!!Total!!Estimate","Virginia!!Total!!Margin of Error","Virginia!!Percent!!Estimate","Virginia!!Percent!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Percent!!Estimate","North Dakota!!Percent!!Margin of Error","New Jersey!!Total!!Estimate","New Jersey!!Total!!Margin of Error","New Jersey!!Percent!!Estimate","New Jersey!!Percent!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!Percent!!Estimate","Ohio!!Percent!!Margin of Error","South Carolina!!Total!!Estimate","South Carolina!!Total!!Margin of Error","South Carolina!!Percent!!Estimate","South Carolina!!Percent!!Margin of Error","Georgia!!Total!!Estimate","Georgia!!Total!!Margin of Error","Georgia!!Percent!!Estimate","Georgia!!Percent!!Margin of Error","Colorado!!Total!!Estimate","Colorado!!Total!!Margin of Error","Colorado!!Percent!!Estimate","Colorado!!Percent!!Margin of Error","Hawaii!!Total!!Estimate","Hawaii!!Total!!Margin of Error","Hawaii!!Percent!!Estimate","Hawaii!!Percent!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Percent!!Estimate","South Dakota!!Percent!!Margin of Error","Indiana!!Total!!Estimate","Indiana!!Total!!Margin of Error","Indiana!!Percent!!Estimate","Indiana!!Percent!!Margin of Error","Kentucky!!Total!!Estimate","Kentucky!!Total!!Margin of Error","Kentucky!!Percent!!Estimate","Kentucky!!Percent!!Margin of Error","Louisiana!!Total!!Estimate","Louisiana!!Total!!Margin of Error","Louisiana!!Percent!!Estimate","Louisiana!!Percent!!Margin of Error","Washington!!Total!!Estimate","Washington!!Total!!Margin of Error","Washington!!Percent!!Estimate","Washington!!Percent!!Margin of Error","Illinois!!Total!!Estimate","Illinois!!Total!!Margin of Error","Illinois!!Percent!!Estimate","Illinois!!Percent!!Margin of Error","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Percent!!Estimate","Iowa!!Percent!!Margin of Error","New Hampshire!!Total!!Estimate","New Hampshire!!Total!!Margin of Error","New Hampshire!!Percent!!Estimate","New Hampshire!!Percent!!Margin of Error","Rhode Island!!Total!!Estimate","Rhode Island!!Total!!Margin of Error","Rhode Island!!Percent!!Estimate","Rhode Island!!Percent!!Margin of Error","Arkansas!!Total!!Estimate","Arkansas!!Total!!Margin of Error","Arkansas!!Percent!!Estimate","Arkansas!!Percent!!Margin of Error","Delaware!!Total!!Estimate","Delaware!!Total!!Margin of Error","Delaware!!Percent!!Estimate","Delaware!!Percent!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Percent!!Estimate","Minnesota!!Percent!!Margin of Error","Montana!!Total!!Estimate","Montana!!Total!!Margin of Error","Montana!!Percent!!Estimate","Montana!!Percent!!Margin of Error","Arizona!!Total!!Estimate","Arizona!!Total!!Margin of Error","Arizona!!Percent!!Estimate","Arizona!!Percent!!Margin of Error","Florida!!Total!!Estimate","Florida!!Total!!Margin of Error","Florida!!Percent!!Estimate","Florida!!Percent!!Margin of Error","Massachusetts!!Total!!Estimate","Massachusetts!!Total!!Margin of Error","Massachusetts!!Percent!!Estimate","Massachusetts!!Percent!!Margin of Error","District of Columbia!!Total!!Estimate","District of Columbia!!Total!!Margin of Error","District of Columbia!!Percent!!Estimate","District of Columbia!!Percent!!Margin of Error","Utah!!Total!!Estimate","Utah!!Total!!Margin of Error","Utah!!Percent!!Estimate","Utah!!Percent!!Margin of Error","New York!!Total!!Estimate","New York!!Total!!Margin of Error","New York!!Percent!!Estimate","New York!!Percent!!Margin of Error"
"Citizens 18 years and over","532,244","±2,539","(X)","(X)","1,070,661","±2,844","(X)","(X)","7,629,700","±14,096","(X)","(X)","4,633,370","±7,810","(X)","(X)","9,781,212","±13,540","(X)","(X)","7,542,878","±9,218","(X)","(X)","1,380,260","±4,447","(X)","(X)","3,098,171","±10,663","(X)","(X)","433,644","±2,221","(X)","(X)","25,838,830","±40,891","(X)","(X)","2,240,658","±4,237","(X)","(X)","2,614,365","±9,761","(X)","(X)","18,502,334","±34,355","(X)","(X)","1,252,414","±4,446","(X)","(X)","4,320,150","±11,064","(X)","(X)","1,507,384","±8,648","(X)","(X)","3,712,212","±6,374","(X)","(X)","5,075,166","±9,364","(X)","(X)","500,274","±2,062","(X)","(X)","2,075,166","±9,912","(X)","(X)","1,431,158","±2,647","(X)","(X)","2,852,665","±6,406","(X)","(X)","4,401,754","±6,740","(X)","(X)","2,561,292","±3,528","(X)","(X)","2,091,514","±6,614","(X)","(X)","6,213,686","±15,563","(X)","(X)","567,351","±3,196","(X)","(X)","6,198,334","±18,079","(X)","(X)","8,863,920","±10,112","(X)","(X)","3,850,077","±7,081","(X)","(X)","7,486,799","±16,650","(X)","(X)","4,151,040","±11,752","(X)","(X)","1,016,506","±6,821","(X)","(X)","647,089","±2,674","(X)","(X)","4,935,180","±9,655","(X)","(X)","3,368,919","±5,708","(X)","(X)","3,459,079","±6,807","(X)","(X)","5,355,539","±15,393","(X)","(X)","9,074,766","±18,777","(X)","(X)","2,327,219","±6,259","(X)","(X)","1,069,812","±2,991","(X)","(X)","803,077","±5,541","(X)","(X)","2,224,112","±7,109","(X)","(X)","720,867","±3,971","(X)","(X)","4,106,914","±8,745","(X)","(X)","823,668","±2,462","(X)","(X)","5,035,771","±13,456","(X)","(X)","15,327,815","±34,980","(X)","(X)","5,035,804","±16,108","(X)","(X)","526,393","±4,612","(X)","(X)","2,087,341","±6,918","(X)","(X)","13,770,029","±25,984","(X)","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        18 to 29 years","127,476","±1,829","24.0%","±0.3","181,628","±1,434","17.0%","±0.1","1,605,709","±7,813","21.0%","±0.1","950,969","±4,998","20.5%","±0.1","1,928,161","±6,355","19.7%","±0.1","1,573,334","±5,636","20.9%","±0.1","296,186","±2,239","21.5%","±0.1","617,912","±5,903","19.9%","±0.2","86,967","±1,666","20.1%","±0.4","6,028,864","±17,673","23.3%","±0.1","490,199","±4,455","21.9%","±0.2","520,431","±4,278","19.9%","±0.1","4,394,424","±16,095","23.8%","±0.1","272,356","±2,805","21.7%","±0.2","867,843","±5,459","20.1%","±0.1","316,132","±4,381","21.0%","±0.2","768,804","±5,276","20.7%","±0.1","1,056,534","±5,543","20.8%","±0.1","100,387","±1,448","20.1%","±0.3","432,922","±3,763","20.9%","±0.1","267,223","±3,092","18.7%","±0.2","627,873","±4,180","22.0%","±0.1","888,479","±4,323","20.2%","±0.1","514,347","±1,413","20.1%","±0.1","457,419","±4,476","21.9%","±0.2","1,314,205","±7,871","21.2%","±0.1","139,148","±2,337","24.5%","±0.4","1,200,963","±6,913","19.4%","±0.1","1,806,426","±6,773","20.4%","±0.1","797,648","±4,688","20.7%","±0.1","1,670,201","±8,530","22.3%","±0.1","915,609","±6,125","22.1%","±0.1","205,905","±3,011","20.3%","±0.3","135,924","±2,341","21.0%","±0.3","1,059,480","±6,074","21.5%","±0.1","703,006","±4,375","20.9%","±0.1","737,438","±4,816","21.3%","±0.1","1,116,310","±8,297","20.8%","±0.1","1,917,749","±10,336","21.1%","±0.1","491,467","±3,583","21.1%","±0.1","205,040","±2,134","19.2%","±0.2","177,021","±3,237","22.0%","±0.3","469,906","±4,440","21.1%","±0.2","140,123","±2,059","19.4%","±0.2","817,820","±4,997","19.9%","±0.1","162,487","±2,278","19.7%","±0.3","1,107,241","±6,417","22.0%","±0.1","2,867,965","±15,798","18.7%","±0.1","1,080,377","±8,250","21.5%","±0.1","145,434","±2,101","27.6%","±0.3","567,726","±3,742","27.2%","±0.2","2,924,030","±11,192","21.2%","±0.1"
"        30 to 44 years","144,647","±2,629","27.2%","±0.5","227,304","±2,280","21.2%","±0.2","1,755,720","±9,514","23.0%","±0.1","1,091,978","±4,726","23.6%","±0.1","2,170,864","±9,448","22.2%","±0.1","1,653,542","±6,678","21.9%","±0.1","337,825","±3,071","24.5%","±0.2","754,771","±7,162","24.4%","±0.2","106,361","±1,762","24.5%","±0.4","6,358,182","±21,639","24.6%","±0.1","543,754","±6,254","24.3%","±0.3","552,963","±6,219","21.2%","±0.2","4,834,880","±20,502","26.1%","±0.1","308,894","±3,582","24.7%","±0.3","1,020,777","±6,682","23.6%","±0.1","356,947","±6,345","23.7%","±0.4","858,792","±6,627","23.1%","±0.2","1,191,965","±5,543","23.5%","±0.1","103,384","±1,123","20.7%","±0.2","514,761","±5,668","24.8%","±0.2","314,761","±2,973","22.0%","±0.2","696,956","±4,994","24.4%","±0.2","1,006,927","±4,587","22.9%","±0.1","559,457","±2,204","21.8%","±0.1","492,293","±4,741","23.5%","±0.2","1,503,106","±9,801","24.2%","±0.1","139,250","±2,753","24.5%","±0.4","1,382,360","±12,237","22.3%","±0.2","2,029,894","±7,357","22.9%","±0.1","878,426","±6,318","22.8%","±0.2","1,863,100","±13,574","24.9%","±0.2","1,102,183","±7,493","26.6%","±0.2","248,723","±3,599","24.5%","±0.3","154,204","±2,289","23.8%","±0.3","1,159,800","±6,805","23.5%","±0.1","783,692","±4,358","23.3%","±0.1","864,711","±6,632","25.0%","±0.2","1,346,421","±7,715","25.1%","±0.1","2,174,843","±11,954","24.0%","±0.1","533,708","±4,138","22.9%","±0.2","227,296","±2,098","21.2%","±0.2","174,615","±3,180","21.7%","±0.4","521,951","±4,587","23.5%","±0.2","153,037","±2,253","21.2%","±0.2","1,007,885","±5,011","24.5%","±0.1","190,761","±2,375","23.2%","±0.3","1,159,231","±8,907","23.0%","±0.2","3,306,343","±19,120","21.6%","±0.1","1,120,870","±8,730","22.3%","±0.1","165,893","±3,139","31.5%","±0.5","596,259","±5,266","28.6%","±0.2","3,189,035","±14,820","23.2%","±0.1"
"        45 to 64 years","174,789","±3,032","32.8%","±0.5","388,346","±2,124","36.3%","±0.2","2,604,091","±8,508","34.1%","±0.1","1,561,209","±4,340","33.7%","±0.1","3,380,076","±6,234","34.6%","±0.1","2,621,192","±5,834","34.8%","±0.1","445,198","±2,700","32.3%","±0.2","1,002,016","±5,260","32.3%","±0.2","144,337","±2,205","33.3%","±0.5","8,244,326","±22,375","31.9%","±0.1","734,187","±6,164","32.8%","±0.3","947,195","±5,282","36.2%","±0.2","5,912,721","±18,903","32.0%","±0.1","395,527","±3,460","31.6%","±0.2","1,527,050","±6,476","35.3%","±0.1","474,231","±5,026","31.5%","±0.3","1,259,953","±7,096","33.9%","±0.2","1,730,652","±5,852","34.1%","±0.1","173,821","±1,536","34.7%","±0.3","678,146","±5,669","32.7%","±0.2","489,218","±2,415","34.2%","±0.2","915,311","±4,322","32.1%","±0.1","1,528,396","±4,370","34.7%","±0.1","833,168","±2,317","32.5%","±0.1","684,980","±4,851","32.8%","±0.2","2,112,109","±8,596","34.0%","±0.1","172,914","±1,812","30.5%","±0.3","2,238,756","±9,863","36.1%","±0.1","3,050,243","±7,373","34.4%","±0.1","1,282,518","±5,951","33.3%","±0.1","2,529,832","±11,480","33.8%","±0.1","1,342,591","±6,202","32.3%","±0.1","317,184","±3,554","31.2%","±0.3","211,141","±1,858","32.6%","±0.3","1,672,981","±5,640","33.9%","±0.1","1,154,682","±4,064","34.3%","±0.1","1,142,767","±6,021","33.0%","±0.2","1,760,980","±7,973","32.9%","±0.1","3,061,135","±9,859","33.7%","±0.1","766,797","±3,407","32.9%","±0.1","396,364","±2,397","37.0%","±0.2","274,536","±3,032","34.2%","±0.3","729,350","±5,418","32.8%","±0.2","249,503","±1,863","34.6%","±0.2","1,403,438","±4,165","34.2%","±0.1","270,899","±2,319","32.9%","±0.3","1,561,631","±6,844","31.0%","±0.1","5,020,822","±17,350","32.8%","±0.1","1,736,866","±8,795","34.5%","±0.1","131,762","±1,970","25.0%","±0.3","578,946","±3,748","27.7%","±0.2","4,615,032","±13,503","33.5%","±0.1"
"        65 years and over","85,332","±1,468","16.0%","±0.3","273,383","±1,126","25.5%","±0.1","1,664,180","±4,018","21.8%","±0.1","1,029,214","±3,500","22.2%","±0.1","2,302,111","±3,963","23.5%","±0.1","1,694,810","±3,271","22.5%","±0.1","301,051","±1,532","21.8%","±0.1","723,472","±3,745","23.4%","±0.1","95,979","±1,485","22.1%","±0.3","5,207,458","±11,947","20.2%","±0.1","472,518","±2,608","21.1%","±0.1","593,776","±2,407","22.7%","±0.1","3,360,309","±12,208","18.2%","±0.1","275,637","±2,149","22.0%","±0.2","904,480","±3,389","20.9%","±0.1","360,074","±2,708","23.9%","±0.2","824,663","±3,597","22.2%","±0.1","1,096,015","±3,988","21.6%","±0.1","122,682","±1,212","24.5%","±0.2","449,337","±3,139","21.7%","±0.2","359,956","±1,768","25.2%","±0.1","612,525","±2,369","21.5%","±0.1","977,952","±2,652","22.2%","±0.1","654,320","±1,394","25.5%","±0.1","456,822","±2,427","21.8%","±0.1","1,284,266","±4,088","20.7%","±0.1","116,039","±869","20.5%","±0.2","1,376,255","±4,283","22.2%","±0.1","1,977,357","±4,220","22.3%","±0.1","891,485","±2,697","23.2%","±0.1","1,423,666","±5,945","19.0%","±0.1","790,657","±3,127","19.0%","±0.1","244,694","±2,164","24.1%","±0.2","145,820","±1,007","22.5%","±0.2","1,042,919","±2,933","21.1%","±0.1","727,539","±2,469","21.6%","±0.1","714,163","±3,009","20.6%","±0.1","1,131,828","±4,315","21.1%","±0.1","1,921,039","±5,568","21.2%","±0.1","535,247","±1,986","23.0%","±0.1","241,112","±1,504","22.5%","±0.1","176,905","±1,594","22.0%","±0.2","502,905","±2,513","22.6%","±0.1","178,204","±1,133","24.7%","±0.2","877,771","±2,706","21.4%","±0.1","199,521","±1,261","24.2%","±0.2","1,207,668","±4,178","24.0%","±0.1","4,132,685","±11,513","27.0%","±0.1","1,097,691","±3,695","21.8%","±0.1","83,304","±935","15.8%","±0.2","344,410","±2,279","16.5%","±0.1","3,041,932","±7,702","22.1%","±0.1"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","279,792","±1,890","52.6%","±0.3","518,367","±1,899","48.4%","±0.2","3,634,888","±8,791","47.6%","±0.1","2,240,784","±5,295","48.4%","±0.1","4,726,343","±8,924","48.3%","±0.1","3,667,806","±7,822","48.6%","±0.1","679,331","±3,218","49.2%","±0.1","1,518,467","±6,517","49.0%","±0.1","219,788","±1,828","50.7%","±0.4","12,693,335","±24,760","49.1%","±0.1","1,062,978","±3,534","47.4%","±0.1","1,252,484","±6,299","47.9%","±0.1","9,038,806","±22,124","48.9%","±0.1","622,965","±3,379","49.7%","±0.2","2,055,984","±7,140","47.6%","±0.1","735,509","±6,014","48.8%","±0.2","1,763,395","±4,927","47.5%","±0.1","2,427,806","±6,438","47.8%","±0.1","244,517","±1,696","48.9%","±0.2","1,036,350","±6,057","49.9%","±0.2","701,390","±2,063","49.0%","±0.1","1,390,267","±5,145","48.7%","±0.1","2,162,711","±4,188","49.1%","±0.1","1,198,296","±2,008","46.8%","±0.1","1,032,265","±4,831","49.4%","±0.2","3,015,598","±9,916","48.5%","±0.1","291,026","±2,449","51.3%","±0.3","2,977,776","±11,832","48.0%","±0.1","4,282,540","±7,096","48.3%","±0.1","1,830,316","±4,917","47.5%","±0.1","3,558,929","±11,784","47.5%","±0.1","2,073,626","±7,549","50.0%","±0.1","513,093","±4,071","50.5%","±0.2","323,519","±2,541","50.0%","±0.3","2,392,487","±6,602","48.5%","±0.1","1,632,285","±4,642","48.5%","±0.1","1,655,923","±4,321","47.9%","±0.1","2,655,643","±10,766","49.6%","±0.1","4,385,340","±12,630","48.3%","±0.1","1,139,250","±3,838","49.0%","±0.1","525,826","±2,385","49.2%","±0.2","384,768","±3,839","47.9%","±0.3","1,074,651","±4,744","48.3%","±0.1","343,826","±2,337","47.7%","±0.2","2,023,293","±6,304","49.3%","±0.1","413,026","±2,760","50.1%","±0.2","2,478,560","±8,695","49.2%","±0.1","7,371,100","±23,981","48.1%","±0.1","2,400,775","±9,292","47.7%","±0.1","245,922","±2,739","46.7%","±0.3","1,041,497","±4,863","49.9%","±0.1","6,565,089","±16,713","47.7%","±0.1"
"        Female","252,452","±2,008","47.4%","±0.3","552,294","±2,632","51.6%","±0.2","3,994,812","±8,586","52.4%","±0.1","2,392,586","±5,182","51.6%","±0.1","5,054,869","±8,755","51.7%","±0.1","3,875,072","±5,841","51.4%","±0.1","700,929","±2,838","50.8%","±0.1","1,579,704","±7,051","51.0%","±0.1","213,856","±2,112","49.3%","±0.4","13,145,495","±22,193","50.9%","±0.1","1,177,680","±2,623","52.6%","±0.1","1,361,881","±5,610","52.1%","±0.1","9,463,528","±19,725","51.1%","±0.1","629,449","±3,734","50.3%","±0.2","2,264,166","±7,153","52.4%","±0.1","771,875","±4,871","51.2%","±0.2","1,948,817","±4,596","52.5%","±0.1","2,647,360","±5,921","52.2%","±0.1","255,757","±1,525","51.1%","±0.2","1,038,816","±5,752","50.1%","±0.2","729,768","±2,161","51.0%","±0.1","1,462,398","±3,969","51.3%","±0.1","2,239,043","±4,682","50.9%","±0.1","1,362,996","±2,519","53.2%","±0.1","1,059,249","±4,610","50.6%","±0.2","3,198,088","±8,132","51.5%","±0.1","276,325","±2,146","48.7%","±0.3","3,220,558","±9,628","52.0%","±0.1","4,581,380","±5,971","51.7%","±0.1","2,019,761","±4,645","52.5%","±0.1","3,927,870","±9,875","52.5%","±0.1","2,077,414","±7,414","50.0%","±0.1","503,413","±4,172","49.5%","±0.2","323,570","±2,557","50.0%","±0.3","2,542,693","±6,211","51.5%","±0.1","1,736,634","±3,951","51.5%","±0.1","1,803,156","±4,519","52.1%","±0.1","2,699,896","±8,783","50.4%","±0.1","4,689,426","±12,019","51.7%","±0.1","1,187,969","±4,084","51.0%","±0.1","543,986","±2,294","50.8%","±0.2","418,309","±3,182","52.1%","±0.3","1,149,461","±4,233","51.7%","±0.1","377,041","±2,406","52.3%","±0.2","2,083,621","±5,826","50.7%","±0.1","410,642","±1,830","49.9%","±0.2","2,557,211","±8,822","50.8%","±0.1","7,956,715","±17,798","51.9%","±0.1","2,635,029","±9,964","52.3%","±0.1","280,471","±2,890","53.3%","±0.3","1,045,844","±4,348","50.1%","±0.1","7,204,940","±15,539","52.3%","±0.1"
"    RACE AND HISPANIC ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
