"Label","Alaska!!Total!!Estimate","Maine!!Total!!Estimate","North Carolina!!Total!!Estimate","Missouri!!Total!!Estimate","Pennsylvania!!Total!!Estimate","Michigan!!Total!!Estimate","Nebraska!!Total!!Estimate","Oregon!!Total!!Estimate","Wyoming!!Total!!Estimate","California!!Total!!Estimate","Mississippi!!Total!!Estimate","Connecticut!!Total!!Estimate","Texas!!Total!!Estimate","Idaho!!Total!!Estimate","Maryland!!Total!!Estimate","New Mexico!!Total!!Estimate","Alabama!!Total!!Estimate","Tennessee!!Total!!Estimate","Vermont!!Total!!Estimate","Nevada!!Total!!Estimate","West Virginia!!Total!!Estimate","Oklahoma!!Total!!Estimate","Wisconsin!!Total!!Estimate","Puerto Rico!!Total!!Estimate","Kansas!!Total!!Estimate","Virginia!!Total!!Estimate","North Dakota!!Total!!Estimate","New Jersey!!Total!!Estimate","Ohio!!Total!!Estimate","South Carolina!!Total!!Estimate","Georgia!!Total!!Estimate","Colorado!!Total!!Estimate","Hawaii!!Total!!Estimate","South Dakota!!Total!!Estimate","Indiana!!Total!!Estimate","Kentucky!!Total!!Estimate","Louisiana!!Total!!Estimate","Washington!!Total!!Estimate","Illinois!!Total!!Estimate","Iowa!!Total!!Estimate","New Hampshire!!Total!!Estimate","Rhode Island!!Total!!Estimate","Arkansas!!Total!!Estimate","Delaware!!Total!!Estimate","Minnesota!!Total!!Estimate","Montana!!Total!!Estimate","Arizona!!Total!!Estimate","Florida!!Total!!Estimate","Massachusetts!!Total!!Estimate","District of Columbia!!Total!!Estimate","Utah!!Total!!Estimate","New York!!Total!!Estimate"
"Citizens 18 years and over","532,244","1,070,661","7,629,700","4,633,370","9,781,212","7,542,878","1,380,260","3,098,171","433,644","25,838,830","2,240,658","2,614,365","18,502,334","1,252,414","4,320,150","1,507,384","3,712,212","5,075,166","500,274","2,075,166","1,431,158","2,852,665","4,401,754","2,561,292","2,091,514","6,213,686","567,351","6,198,334","8,863,920","3,850,077","7,486,799","4,151,040","1,016,506","647,089","4,935,180","3,368,919","3,459,079","5,355,539","9,074,766","2,327,219","1,069,812","803,077","2,224,112","720,867","4,106,914","823,668","5,035,771","15,327,815","5,035,804","526,393","2,087,341","13,770,029"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        18 to 29 years","127,476","181,628","1,605,709","950,969","1,928,161","1,573,334","296,186","617,912","86,967","6,028,864","490,199","520,431","4,394,424","272,356","867,843","316,132","768,804","1,056,534","100,387","432,922","267,223","627,873","888,479","514,347","457,419","1,314,205","139,148","1,200,963","1,806,426","797,648","1,670,201","915,609","205,905","135,924","1,059,480","703,006","737,438","1,116,310","1,917,749","491,467","205,040","177,021","469,906","140,123","817,820","162,487","1,107,241","2,867,965","1,080,377","145,434","567,726","2,924,030"
"        30 to 44 years","144,647","227,304","1,755,720","1,091,978","2,170,864","1,653,542","337,825","754,771","106,361","6,358,182","543,754","552,963","4,834,880","308,894","1,020,777","356,947","858,792","1,191,965","103,384","514,761","314,761","696,956","1,006,927","559,457","492,293","1,503,106","139,250","1,382,360","2,029,894","878,426","1,863,100","1,102,183","248,723","154,204","1,159,800","783,692","864,711","1,346,421","2,174,843","533,708","227,296","174,615","521,951","153,037","1,007,885","190,761","1,159,231","3,306,343","1,120,870","165,893","596,259","3,189,035"
"        45 to 64 years","174,789","388,346","2,604,091","1,561,209","3,380,076","2,621,192","445,198","1,002,016","144,337","8,244,326","734,187","947,195","5,912,721","395,527","1,527,050","474,231","1,259,953","1,730,652","173,821","678,146","489,218","915,311","1,528,396","833,168","684,980","2,112,109","172,914","2,238,756","3,050,243","1,282,518","2,529,832","1,342,591","317,184","211,141","1,672,981","1,154,682","1,142,767","1,760,980","3,061,135","766,797","396,364","274,536","729,350","249,503","1,403,438","270,899","1,561,631","5,020,822","1,736,866","131,762","578,946","4,615,032"
"        65 years and over","85,332","273,383","1,664,180","1,029,214","2,302,111","1,694,810","301,051","723,472","95,979","5,207,458","472,518","593,776","3,360,309","275,637","904,480","360,074","824,663","1,096,015","122,682","449,337","359,956","612,525","977,952","654,320","456,822","1,284,266","116,039","1,376,255","1,977,357","891,485","1,423,666","790,657","244,694","145,820","1,042,919","727,539","714,163","1,131,828","1,921,039","535,247","241,112","176,905","502,905","178,204","877,771","199,521","1,207,668","4,132,685","1,097,691","83,304","344,410","3,041,932"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","279,792","518,367","3,634,888","2,240,784","4,726,343","3,667,806","679,331","1,518,467","219,788","12,693,335","1,062,978","1,252,484","9,038,806","622,965","2,055,984","735,509","1,763,395","2,427,806","244,517","1,036,350","701,390","1,390,267","2,162,711","1,198,296","1,032,265","3,015,598","291,026","2,977,776","4,282,540","1,830,316","3,558,929","2,073,626","513,093","323,519","2,392,487","1,632,285","1,655,923","2,655,643","4,385,340","1,139,250","525,826","384,768","1,074,651","343,826","2,023,293","413,026","2,478,560","7,371,100","2,400,775","245,922","1,041,497","6,565,089"
"        Female","252,452","552,294","3,994,812","2,392,586","5,054,869","3,875,072","700,929","1,579,704","213,856","13,145,495","1,177,680","1,361,881","9,463,528","629,449","2,264,166","771,875","1,948,817","2,647,360","255,757","1,038,816","729,768","1,462,398","2,239,043","1,362,996","1,059,249","3,198,088","276,325","3,220,558","4,581,380","2,019,761","3,927,870","2,077,414","503,413","323,570","2,542,693","1,736,634","1,803,156","2,699,896","4,689,426","1,187,969","543,986","418,309","1,149,461","377,041","2,083,621","410,642","2,557,211","7,956,715","2,635,029","280,471","1,045,844","7,204,940"
"    RACE AND HISPANIC ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
