Label,Alabama!!Total!!Estimate,Alabama!!Total!!Margin of Error,Alabama!!Percent!!Estimate,Alabama!!Percent!!Margin of Error,Alaska!!Total!!Estimate,Alaska!!Total!!Margin of Error,Alaska!!Percent!!Estimate,Alaska!!Percent!!Margin of Error,Arizona!!Total!!Estimate,Arizona!!Total!!Margin of Error,Arizona!!Percent!!Estimate,Arizona!!Percent!!Margin of Error,Arkansas!!Total!!Estimate,Arkansas!!Total!!Margin of Error,Arkansas!!Percent!!Estimate,Arkansas!!Percent!!Margin of Error,California!!Total!!Estimate,California!!Total!!Margin of Error,California!!Percent!!Estimate,California!!Percent!!Margin of Error,Colorado!!Total!!Estimate,Colorado!!Total!!Margin of Error,Colorado!!Percent!!Estimate,Colorado!!Percent!!Margin of Error,Connecticut!!Total!!Estimate,Connecticut!!Total!!Margin of Error,Connecticut!!Percent!!Estimate,Connecticut!!Percent!!Margin of Error,Delaware!!Total!!Estimate,Delaware!!Total!!Margin of Error,Delaware!!Percent!!Estimate,Delaware!!Percent!!Margin of Error,District of Columbia!!Total!!Estimate,District of Columbia!!Total!!Margin of Error,District of Columbia!!Percent!!Estimate,District of Columbia!!Percent!!Margin of Error,Florida!!Total!!Estimate,Florida!!Total!!Margin of Error,Florida!!Percent!!Estimate,Florida!!Percent!!Margin of Error,Georgia!!Total!!Estimate,Georgia!!Total!!Margin of Error,Georgia!!Percent!!Estimate,Georgia!!Percent!!Margin of Error,Hawaii!!Total!!Estimate,Hawaii!!Total!!Margin of Error,Hawaii!!Percent!!Estimate,Hawaii!!Percent!!Margin of Error,Idaho!!Total!!Estimate,Idaho!!Total!!Margin of Error,Idaho!!Percent!!Estimate,Idaho!!Percent!!Margin of Error,Illinois!!Total!!Estimate,Illinois!!Total!!Margin of Error,Illinois!!Percent!!Estimate,Illinois!!Percent!!Margin of Error,Indiana!!Total!!Estimate,Indiana!!Total!!Margin of Error,Indiana!!Percent!!Estimate,Indiana!!Percent!!Margin of Error,Iowa!!Total!!Estimate,Iowa!!Total!!Margin of Error,Iowa!!Percent!!Estimate,Iowa!!Percent!!Margin of Error,Kansas!!Total!!Estimate,Kansas!!Total!!Margin of Error,Kansas!!Percent!!Estimate,Kansas!!Percent!!Margin of Error,Kentucky!!Total!!Estimate,Kentucky!!Total!!Margin of Error,Kentucky!!Percent!!Estimate,Kentucky!!Percent!!Margin of Error,Louisiana!!Total!!Estimate,Louisiana!!Total!!Margin of Error,Louisiana!!Percent!!Estimate,Louisiana!!Percent!!Margin of Error,Maine!!Total!!Estimate,Maine!!Total!!Margin of Error,Maine!!Percent!!Estimate,Maine!!Percent!!Margin of Error,Maryland!!Total!!Estimate,Maryland!!Total!!Margin of Error,Maryland!!Percent!!Estimate,Maryland!!Percent!!Margin of Error,Massachusetts!!Total!!Estimate,Massachusetts!!Total!!Margin of Error,Massachusetts!!Percent!!Estimate,Massachusetts!!Percent!!Margin of Error,Michigan!!Total!!Estimate,Michigan!!Total!!Margin of Error,Michigan!!Percent!!Estimate,Michigan!!Percent!!Margin of Error,Minnesota!!Total!!Estimate,Minnesota!!Total!!Margin of Error,Minnesota!!Percent!!Estimate,Minnesota!!Percent!!Margin of Error,Mississippi!!Total!!Estimate,Mississippi!!Total!!Margin of Error,Mississippi!!Percent!!Estimate,Mississippi!!Percent!!Margin of Error,Missouri!!Total!!Estimate,Missouri!!Total!!Margin of Error,Missouri!!Percent!!Estimate,Missouri!!Percent!!Margin of Error,Montana!!Total!!Estimate,Montana!!Total!!Margin of Error,Montana!!Percent!!Estimate,Montana!!Percent!!Margin of Error,Nebraska!!Total!!Estimate,Nebraska!!Total!!Margin of Error,Nebraska!!Percent!!Estimate,Nebraska!!Percent!!Margin of Error,Nevada!!Total!!Estimate,Nevada!!Total!!Margin of Error,Nevada!!Percent!!Estimate,Nevada!!Percent!!Margin of Error,New Hampshire!!Total!!Estimate,New Hampshire!!Total!!Margin of Error,New Hampshire!!Percent!!Estimate,New Hampshire!!Percent!!Margin of Error,New Jersey!!Total!!Estimate,New Jersey!!Total!!Margin of Error,New Jersey!!Percent!!Estimate,New Jersey!!Percent!!Margin of Error,New Mexico!!Total!!Estimate,New Mexico!!Total!!Margin of Error,New Mexico!!Percent!!Estimate,New Mexico!!Percent!!Margin of Error,New York!!Total!!Estimate,New York!!Total!!Margin of Error,New York!!Percent!!Estimate,New York!!Percent!!Margin of Error,North Carolina!!Total!!Estimate,North Carolina!!Total!!Margin of Error,North Carolina!!Percent!!Estimate,North Carolina!!Percent!!Margin of Error,North Dakota!!Total!!Estimate,North Dakota!!Total!!Margin of Error,North Dakota!!Percent!!Estimate,North Dakota!!Percent!!Margin of Error,Ohio!!Total!!Estimate,Ohio!!Total!!Margin of Error,Ohio!!Percent!!Estimate,Ohio!!Percent!!Margin of Error,Oklahoma!!Total!!Estimate,Oklahoma!!Total!!Margin of Error,Oklahoma!!Percent!!Estimate,Oklahoma!!Percent!!Margin of Error,Oregon!!Total!!Estimate,Oregon!!Total!!Margin of Error,Oregon!!Percent!!Estimate,Oregon!!Percent!!Margin of Error,Pennsylvania!!Total!!Estimate,Pennsylvania!!Total!!Margin of Error,Pennsylvania!!Percent!!Estimate,Pennsylvania!!Percent!!Margin of Error,Rhode Island!!Total!!Estimate,Rhode Island!!Total!!Margin of Error,Rhode Island!!Percent!!Estimate,Rhode Island!!Percent!!Margin of Error,South Carolina!!Total!!Estimate,South Carolina!!Total!!Margin of Error,South Carolina!!Percent!!Estimate,South Carolina!!Percent!!Margin of Error,South Dakota!!Total!!Estimate,South Dakota!!Total!!Margin of Error,South Dakota!!Percent!!Estimate,South Dakota!!Percent!!Margin of Error,Tennessee!!Total!!Estimate,Tennessee!!Total!!Margin of Error,Tennessee!!Percent!!Estimate,Tennessee!!Percent!!Margin of Error,Texas!!Total!!Estimate,Texas!!Total!!Margin of Error,Texas!!Percent!!Estimate,Texas!!Percent!!Margin of Error,Utah!!Total!!Estimate,Utah!!Total!!Margin of Error,Utah!!Percent!!Estimate,Utah!!Percent!!Margin of Error,Vermont!!Total!!Estimate,Vermont!!Total!!Margin of Error,Vermont!!Percent!!Estimate,Vermont!!Percent!!Margin of Error,Virginia!!Total!!Estimate,Virginia!!Total!!Margin of Error,Virginia!!Percent!!Estimate,Virginia!!Percent!!Margin of Error,Washington!!Total!!Estimate,Washington!!Total!!Margin of Error,Washington!!Percent!!Estimate,Washington!!Percent!!Margin of Error,West Virginia!!Total!!Estimate,West Virginia!!Total!!Margin of Error,West Virginia!!Percent!!Estimate,West Virginia!!Percent!!Margin of Error,Wisconsin!!Total!!Estimate,Wisconsin!!Total!!Margin of Error,Wisconsin!!Percent!!Estimate,Wisconsin!!Percent!!Margin of Error,Wyoming!!Total!!Estimate,Wyoming!!Total!!Margin of Error,Wyoming!!Percent!!Estimate,Wyoming!!Percent!!Margin of Error,Puerto Rico!!Total!!Estimate,Puerto Rico!!Total!!Margin of Error,Puerto Rico!!Percent!!Estimate,Puerto Rico!!Percent!!Margin of Error
Citizens 18 years and over,"3,731,336","±6,395",(X),(X),"533,151","±2,609",(X),(X),"5,137,474","±16,329",(X),(X),"2,235,415","±5,844",(X),(X),"26,032,160","±48,109",(X),(X),"4,244,210","±11,339",(X),(X),"2,619,474","±10,027",(X),(X),"725,178","±3,702",(X),(X),"536,768","±3,759",(X),(X),"15,507,315","±36,626",(X),(X),"7,581,837","±15,544",(X),(X),"1,014,035","±7,799",(X),(X),"1,282,630","±4,858",(X),(X),"9,088,036","±18,556",(X),(X),"4,978,356","±9,818",(X),(X),"2,348,787","±7,007",(X),(X),"2,103,748","±7,581",(X),(X),"3,367,502","±6,355",(X),(X),"3,463,372","±7,950",(X),(X),"1,078,770","±2,292",(X),(X),"4,316,921","±12,812",(X),(X),"5,057,192","±15,957",(X),(X),"7,562,464","±9,607",(X),(X),"4,157,556","±10,015",(X),(X),"2,246,323","±3,740",(X),(X),"4,650,318","±8,536",(X),(X),"831,760","±2,687",(X),(X),"1,388,950","±4,650",(X),(X),"2,111,932","±11,615",(X),(X),"1,070,215","±3,043",(X),(X),"6,170,130","±19,781",(X),(X),"1,522,171","±8,220",(X),(X),"13,810,830","±26,483",(X),(X),"7,729,644","±14,955",(X),(X),"567,545","±3,405",(X),(X),"8,879,469","±11,311",(X),(X),"2,875,059","±6,555",(X),(X),"3,162,204","±8,902",(X),(X),"9,810,201","±11,994",(X),(X),"800,798","±6,226",(X),(X),"3,892,341","±8,830",(X),(X),"653,394","±3,086",(X),(X),"5,129,580","±9,861",(X),(X),"18,875,542","±40,970",(X),(X),"2,134,249","±6,329",(X),(X),"498,705","±2,756",(X),(X),"6,226,623","±14,924",(X),(X),"5,409,035","±14,907",(X),(X),"1,420,289","±2,281",(X),(X),"4,412,888","±7,908",(X),(X),"434,852","±2,587",(X),(X),"2,579,596","±4,489",(X),(X)
    AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        18 to 29 years,"763,649","±5,131",20.50%,±0.1,"123,692","±3,120",23.20%,±0.5,"1,118,272","±6,422",21.80%,±0.1,"462,574","±3,795",20.70%,±0.2,"5,972,852","±20,916",22.90%,±0.1,"930,674","±6,285",21.90%,±0.1,"519,013","±4,282",19.80%,±0.1,"138,340","±2,117",19.10%,±0.3,"145,373","±2,135",27.10%,±0.4,"2,842,961","±15,152",18.30%,±0.1,"1,671,898","±9,368",22.10%,±0.1,"200,251","±2,763",19.70%,±0.2,"272,468","±3,647",21.20%,±0.3,"1,903,070","±10,313",20.90%,±0.1,"1,066,726","±6,522",21.40%,±0.1,"490,255","±3,975",20.90%,±0.1,"459,852","±4,381",21.90%,±0.2,"694,518","±4,153",20.60%,±0.1,"725,942","±5,848",21.00%,±0.2,"184,073","±1,787",17.10%,±0.2,"855,268","±7,048",19.80%,±0.1,"1,064,328","±7,888",21.00%,±0.1,"1,565,440","±5,480",20.70%,±0.1,"825,684","±6,418",19.90%,±0.1,"479,850","±4,176",21.40%,±0.2,"947,001","±4,634",20.40%,±0.1,"164,858","±2,291",19.80%,±0.2,"298,888","±3,066",21.50%,±0.2,"431,639","±5,257",20.40%,±0.2,"203,672","±1,880",19.00%,±0.2,"1,178,577","±8,549",19.10%,±0.1,"319,475","±3,921",21.00%,±0.2,"2,905,856","±12,430",21.00%,±0.1,"1,625,824","±7,810",21.00%,±0.1,"138,826","±2,881",24.50%,±0.5,"1,786,146","±7,082",20.10%,±0.1,"626,445","±4,162",21.80%,±0.1,"622,701","±5,527",19.70%,±0.1,"1,911,117","±7,974",19.50%,±0.1,"170,897","±4,222",21.30%,±0.4,"780,150","±5,638",20.00%,±0.1,"134,495","±2,445",20.60%,±0.3,"1,064,681","±6,716",20.80%,±0.1,"4,434,869","±20,301",23.50%,±0.1,"577,652","±5,026",27.10%,±0.2,"101,619","±1,862",20.40%,±0.3,"1,300,940","±8,315",20.90%,±0.1,"1,119,528","±7,437",20.70%,±0.1,"260,574","±2,454",18.30%,±0.2,"880,737","±4,480",20.00%,±0.1,"90,057","±2,459",20.70%,±0.5,"516,634","±1,457",20.00%,±0.1
        30 to 44 years,"875,096","±6,488",23.50%,±0.2,"144,125","±3,535",27.00%,±0.7,"1,186,802","±9,285",23.10%,±0.1,"527,303","±5,927",23.60%,±0.2,"6,498,394","±23,987",25.00%,±0.1,"1,139,013","±7,358",26.80%,±0.1,"558,494","±5,355",21.30%,±0.2,"153,789","±2,206",21.20%,±0.3,"173,776","±2,625",32.40%,±0.4,"3,349,562","±20,405",21.60%,±0.1,"1,874,492","±12,644",24.70%,±0.2,"247,897","±3,678",24.40%,±0.3,"319,440","±3,215",24.90%,±0.2,"2,194,821","±10,750",24.20%,±0.1,"1,172,787","±7,326",23.60%,±0.1,"549,754","±4,048",23.40%,±0.2,"502,202","±4,796",23.90%,±0.2,"785,460","±4,611",23.30%,±0.1,"878,183","±8,163",25.40%,±0.2,"228,950","±2,363",21.20%,±0.2,"1,032,027","±8,931",23.90%,±0.2,"1,144,772","±7,785",22.60%,±0.1,"1,672,945","±6,851",22.10%,±0.1,"1,031,607","±6,596",24.80%,±0.1,"544,491","±8,293",24.20%,±0.4,"1,114,992","±6,389",24.00%,±0.1,"194,179","±2,332",23.30%,±0.3,"340,309","±3,558",24.50%,±0.2,"523,962","±6,510",24.80%,±0.2,"229,662","±2,231",21.50%,±0.2,"1,378,193","±10,516",22.30%,±0.1,"361,292","±5,973",23.70%,±0.4,"3,224,211","±15,108",23.30%,±0.1,"1,784,807","±10,491",23.10%,±0.1,"142,031","±2,617",25.00%,±0.4,"2,053,574","±8,519",23.10%,±0.1,"711,620","±4,861",24.80%,±0.2,"795,817","±6,374",25.20%,±0.2,"2,221,630","±6,876",22.60%,±0.1,"174,988","±3,577",21.90%,±0.4,"893,137","±6,794",22.90%,±0.2,"156,508","±2,366",24.00%,±0.3,"1,213,196","±5,818",23.70%,±0.1,"4,965,420","±26,540",26.30%,±0.1,"612,709","±4,315",28.70%,±0.2,"103,070","±1,234",20.70%,±0.2,"1,512,208","±9,987",24.30%,±0.1,"1,373,286","±9,183",25.40%,±0.1,"313,826","±2,782",22.10%,±0.2,"1,018,138","±5,432",23.10%,±0.1,"106,773","±2,208",24.60%,±0.5,"563,268","±2,573",21.80%,±0.1
        45 to 64 years,"1,243,536","±6,120",33.30%,±0.2,"176,561","±3,579",33.10%,±0.6,"1,573,498","±9,735",30.60%,±0.2,"725,261","±5,594",32.40%,±0.2,"8,179,712","±23,621",31.40%,±0.1,"1,344,239","±5,628",31.70%,±0.1,"932,851","±6,279",35.60%,±0.2,"246,241","±2,378",34.00%,±0.3,"134,136","±1,942",25.00%,±0.3,"5,034,612","±16,098",32.50%,±0.1,"2,542,704","±11,711",33.50%,±0.1,"313,964","±4,422",31.00%,±0.3,"405,790","±3,499",31.60%,±0.2,"3,021,815","±8,284",33.30%,±0.1,"1,662,916","±6,995",33.40%,±0.1,"758,963","±3,847",32.30%,±0.1,"671,285","±4,397",31.90%,±0.2,"1,137,899","±5,180",33.80%,±0.1,"1,123,706","±7,381",32.40%,±0.2,"382,787","±1,854",35.50%,±0.2,"1,504,483","±5,508",34.90%,±0.1,"1,718,530","±7,784",34.00%,±0.1,"2,581,484","±5,876",34.10%,±0.1,"1,386,604","±4,365",33.40%,±0.1,"736,921","±8,424",32.80%,±0.4,"1,537,684","±5,451",33.10%,±0.1,"266,138","±2,400",32.00%,±0.3,"439,917","±3,899",31.70%,±0.3,"683,068","±6,083",32.30%,±0.2,"387,483","±2,290",36.20%,±0.2,"2,203,134","±8,964",35.70%,±0.1,"473,593","±6,118",31.10%,±0.3,"4,554,178","±14,464",33.00%,±0.1,"2,596,312","±9,133",33.60%,±0.1,"167,109","±1,808",29.40%,±0.3,"3,010,829","±6,993",33.90%,±0.1,"910,287","±4,246",31.70%,±0.1,"989,048","±5,754",31.30%,±0.2,"3,318,012","±8,144",33.80%,±0.1,"272,691","±3,337",34.10%,±0.4,"1,292,332","±6,727",33.20%,±0.2,"208,953","±2,362",32.00%,±0.4,"1,722,862","±5,567",33.60%,±0.1,"5,961,275","±23,700",31.60%,±0.1,"585,098","±4,303",27.40%,±0.2,"169,970","±1,268",34.10%,±0.3,"2,088,765","±8,595",33.50%,±0.1,"1,744,732","±7,836",32.30%,±0.1,"479,807","±2,587",33.80%,±0.2,"1,503,592","±4,588",34.10%,±0.1,"139,611","±2,260",32.10%,±0.5,"825,956","±2,893",32.00%,±0.1
        65 years and over,"849,055","±4,126",22.80%,±0.1,"88,773","±1,912",16.70%,±0.4,"1,258,902","±4,845",24.50%,±0.1,"520,277","±3,178",23.30%,±0.1,"5,381,202","±14,447",20.70%,±0.1,"830,284","±3,136",19.60%,±0.1,"609,116","±3,140",23.30%,±0.1,"186,808","±1,206",25.80%,±0.2,"83,483","±1,289",15.60%,±0.2,"4,280,180","±11,478",27.60%,±0.1,"1,492,743","±6,066",19.70%,±0.1,"251,923","±2,996",24.80%,±0.3,"284,932","±1,834",22.20%,±0.1,"1,968,330","±6,163",21.70%,±0.1,"1,075,927","±3,284",21.60%,±0.1,"549,815","±2,025",23.40%,±0.1,"470,409","±2,414",22.40%,±0.1,"749,625","±3,344",22.30%,±0.1,"735,541","±3,200",21.20%,±0.1,"282,960","±1,427",26.20%,±0.1,"925,143","±4,116",21.40%,±0.1,"1,129,562","±4,719",22.30%,±0.1,"1,742,595","±3,389",23.00%,±0.1,"913,661","±2,549",22.00%,±0.1,"485,061","±2,554",21.60%,±0.1,"1,050,641","±3,142",22.60%,±0.1,"206,585","±1,648",24.80%,±0.2,"309,836","±1,847",22.30%,±0.1,"473,263","±3,112",22.40%,±0.2,"249,398","±1,639",23.30%,±0.2,"1,410,226","±4,835",22.90%,±0.1,"367,811","±2,633",24.20%,±0.2,"3,126,585","±7,587",22.60%,±0.1,"1,722,701","±5,189",22.30%,±0.1,"119,579","±1,307",21.10%,±0.2,"2,028,920","±3,907",22.80%,±0.1,"626,707","±2,849",21.80%,±0.1,"754,638","±3,233",23.90%,±0.1,"2,359,442","±3,947",24.10%,±0.1,"182,222","±1,705",22.80%,±0.3,"926,722","±3,108",23.80%,±0.1,"153,438","±1,242",23.50%,±0.2,"1,128,841","±4,067",22.00%,±0.1,"3,513,978","±10,492",18.60%,±0.1,"358,790","±2,167",16.80%,±0.1,"124,046",±990,24.90%,±0.2,"1,324,710","±4,496",21.30%,±0.1,"1,171,489","±4,077",21.70%,±0.1,"366,082","±1,921",25.80%,±0.1,"1,010,421","±2,836",22.90%,±0.1,"98,411","±1,489",22.60%,±0.4,"673,738","±1,370",26.10%,±0.1
    SEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Male,"1,768,386","±4,711",47.40%,±0.1,"278,479","±2,343",52.20%,±0.3,"2,533,931","±10,100",49.30%,±0.1,"1,075,762","±4,729",48.10%,±0.2,"12,786,049","±32,037",49.10%,±0.1,"2,128,648","±8,907",50.20%,±0.1,"1,253,707","±6,831",47.90%,±0.2,"344,221","±2,358",47.50%,±0.2,"249,106","±2,526",46.40%,±0.4,"7,459,575","±23,711",48.10%,±0.1,"3,596,624","±12,437",47.40%,±0.1,"512,571","±4,551",50.50%,±0.3,"636,414","±3,698",49.60%,±0.2,"4,390,707","±12,633",48.30%,±0.1,"2,411,501","±6,590",48.40%,±0.1,"1,154,307","±4,891",49.10%,±0.1,"1,035,098","±4,800",49.20%,±0.2,"1,631,725","±4,801",48.50%,±0.1,"1,655,152","±5,650",47.80%,±0.1,"522,044","±2,071",48.40%,±0.2,"2,050,021","±7,510",47.50%,±0.1,"2,407,924","±11,066",47.60%,±0.1,"3,676,586","±6,305",48.60%,±0.1,"2,045,864","±6,514",49.20%,±0.1,"1,067,205","±3,103",47.50%,±0.1,"2,248,899","±5,423",48.40%,±0.1,"415,318","±2,413",49.90%,±0.2,"683,539","±3,533",49.20%,±0.2,"1,055,523","±7,251",50.00%,±0.2,"525,283","±2,412",49.10%,±0.2,"2,960,049","±13,528",48.00%,±0.1,"743,883","±5,587",48.90%,±0.2,"6,590,849","±19,158",47.70%,±0.1,"3,681,272","±9,689",47.60%,±0.1,"289,374","±2,513",51.00%,±0.3,"4,288,268","±8,195",48.30%,±0.1,"1,404,052","±4,964",48.80%,±0.1,"1,545,421","±5,774",48.90%,±0.1,"4,743,600","±8,523",48.40%,±0.1,"382,238","±4,242",47.70%,±0.3,"1,847,097","±5,016",47.50%,±0.1,"327,804","±2,424",50.20%,±0.3,"2,456,302","±7,327",47.90%,±0.1,"9,232,534","±23,710",48.90%,±0.1,"1,065,672","±4,759",49.90%,±0.2,"244,340","±1,643",49.00%,±0.2,"3,030,164","±9,438",48.70%,±0.1,"2,684,022","±8,740",49.60%,±0.1,"696,420","±2,576",49.00%,±0.1,"2,172,383","±5,430",49.20%,±0.1,"220,281","±2,326",50.70%,±0.4,"1,206,627","±2,330",46.80%,±0.1
        Female,"1,962,950","±4,023",52.60%,±0.1,"254,672","±2,031",47.80%,±0.3,"2,603,543","±9,762",50.70%,±0.1,"1,159,653","±4,437",51.90%,±0.2,"13,246,111","±27,222",50.90%,±0.1,"2,115,562","±6,315",49.80%,±0.1,"1,365,767","±6,310",52.10%,±0.2,"380,957","±2,594",52.50%,±0.2,"287,662","±2,811",53.60%,±0.4,"8,047,740","±19,367",51.90%,±0.1,"3,985,213","±10,416",52.60%,±0.1,"501,464","±4,921",49.50%,±0.3,"646,216","±3,203",50.40%,±0.2,"4,697,329","±9,824",51.70%,±0.1,"2,566,855","±5,892",51.60%,±0.1,"1,194,480","±4,690",50.90%,±0.1,"1,068,650","±5,204",50.80%,±0.2,"1,735,777","±4,526",51.50%,±0.1,"1,808,220","±5,585",52.20%,±0.1,"556,726","±2,151",51.60%,±0.2,"2,266,900","±7,788",52.50%,±0.1,"2,649,268","±9,091",52.40%,±0.1,"3,885,878","±6,147",51.40%,±0.1,"2,111,692","±5,775",50.80%,±0.1,"1,179,118","±2,821",52.50%,±0.1,"2,401,419","±5,848",51.60%,±0.1,"416,442","±2,020",50.10%,±0.2,"705,411","±3,263",50.80%,±0.2,"1,056,409","±7,176",50.00%,±0.2,"544,932","±2,208",50.90%,±0.2,"3,210,081","±10,764",52.00%,±0.1,"778,288","±4,717",51.10%,±0.2,"7,219,981","±14,904",52.30%,±0.1,"4,048,372","±8,140",52.40%,±0.1,"278,171","±2,577",49.00%,±0.3,"4,591,201","±7,077",51.70%,±0.1,"1,471,007","±4,232",51.20%,±0.1,"1,616,783","±6,436",51.10%,±0.1,"5,066,601","±7,397",51.60%,±0.1,"418,560","±3,164",52.30%,±0.3,"2,045,244","±6,174",52.50%,±0.1,"325,590","±2,308",49.80%,±0.3,"2,673,278","±6,901",52.10%,±0.1,"9,643,008","±24,757",51.10%,±0.1,"1,068,577","±4,918",50.10%,±0.2,"254,365","±1,862",51.00%,±0.2,"3,196,459","±9,777",51.30%,±0.1,"2,725,013","±8,683",50.40%,±0.1,"723,869","±2,136",51.00%,±0.1,"2,240,505","±5,150",50.80%,±0.1,"214,571","±2,194",49.30%,±0.4,"1,372,969","±3,089",53.20%,±0.1
    RACE AND HISPANIC ORIGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
