"Label","Alabama!!Total!!Estimate","Alaska!!Total!!Estimate","Arizona!!Total!!Estimate","Arkansas!!Total!!Estimate","California!!Total!!Estimate","Colorado!!Total!!Estimate","Connecticut!!Total!!Estimate","Delaware!!Total!!Estimate","District of Columbia!!Total!!Estimate","Florida!!Total!!Estimate","Georgia!!Total!!Estimate","Hawaii!!Total!!Estimate","Idaho!!Total!!Estimate","Illinois!!Total!!Estimate","Indiana!!Total!!Estimate","Iowa!!Total!!Estimate","Kansas!!Total!!Estimate","Kentucky!!Total!!Estimate","Louisiana!!Total!!Estimate","Maine!!Total!!Estimate","Maryland!!Total!!Estimate","Massachusetts!!Total!!Estimate","Michigan!!Total!!Estimate","Minnesota!!Total!!Estimate","Mississippi!!Total!!Estimate","Missouri!!Total!!Estimate","Montana!!Total!!Estimate","Nebraska!!Total!!Estimate","Nevada!!Total!!Estimate","New Hampshire!!Total!!Estimate","New Jersey!!Total!!Estimate","New Mexico!!Total!!Estimate","New York!!Total!!Estimate","North Carolina!!Total!!Estimate","North Dakota!!Total!!Estimate","Ohio!!Total!!Estimate","Oklahoma!!Total!!Estimate","Oregon!!Total!!Estimate","Pennsylvania!!Total!!Estimate","Rhode Island!!Total!!Estimate","South Carolina!!Total!!Estimate","South Dakota!!Total!!Estimate","Tennessee!!Total!!Estimate","Texas!!Total!!Estimate","Utah!!Total!!Estimate","Vermont!!Total!!Estimate","Virginia!!Total!!Estimate","Washington!!Total!!Estimate","West Virginia!!Total!!Estimate","Wisconsin!!Total!!Estimate","Wyoming!!Total!!Estimate","Puerto Rico!!Total!!Estimate"
"Citizens 18 years and over","3,731,336","533,151","5,137,474","2,235,415","26,032,160","4,244,210","2,619,474","725,178","536,768","15,507,315","7,581,837","1,014,035","1,282,630","9,088,036","4,978,356","2,348,787","2,103,748","3,367,502","3,463,372","1,078,770","4,316,921","5,057,192","7,562,464","4,157,556","2,246,323","4,650,318","831,760","1,388,950","2,111,932","1,070,215","6,170,130","1,522,171","13,810,830","7,729,644","567,545","8,879,469","2,875,059","3,162,204","9,810,201","800,798","3,892,341","653,394","5,129,580","18,875,542","2,134,249","498,705","6,226,623","5,409,035","1,420,289","4,412,888","434,852","2,579,596"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        18 to 29 years","763,649","123,692","1,118,272","462,574","5,972,852","930,674","519,013","138,340","145,373","2,842,961","1,671,898","200,251","272,468","1,903,070","1,066,726","490,255","459,852","694,518","725,942","184,073","855,268","1,064,328","1,565,440","825,684","479,850","947,001","164,858","298,888","431,639","203,672","1,178,577","319,475","2,905,856","1,625,824","138,826","1,786,146","626,445","622,701","1,911,117","170,897","780,150","134,495","1,064,681","4,434,869","577,652","101,619","1,300,940","1,119,528","260,574","880,737","90,057","516,634"
"        30 to 44 years","875,096","144,125","1,186,802","527,303","6,498,394","1,139,013","558,494","153,789","173,776","3,349,562","1,874,492","247,897","319,440","2,194,821","1,172,787","549,754","502,202","785,460","878,183","228,950","1,032,027","1,144,772","1,672,945","1,031,607","544,491","1,114,992","194,179","340,309","523,962","229,662","1,378,193","361,292","3,224,211","1,784,807","142,031","2,053,574","711,620","795,817","2,221,630","174,988","893,137","156,508","1,213,196","4,965,420","612,709","103,070","1,512,208","1,373,286","313,826","1,018,138","106,773","563,268"
"        45 to 64 years","1,243,536","176,561","1,573,498","725,261","8,179,712","1,344,239","932,851","246,241","134,136","5,034,612","2,542,704","313,964","405,790","3,021,815","1,662,916","758,963","671,285","1,137,899","1,123,706","382,787","1,504,483","1,718,530","2,581,484","1,386,604","736,921","1,537,684","266,138","439,917","683,068","387,483","2,203,134","473,593","4,554,178","2,596,312","167,109","3,010,829","910,287","989,048","3,318,012","272,691","1,292,332","208,953","1,722,862","5,961,275","585,098","169,970","2,088,765","1,744,732","479,807","1,503,592","139,611","825,956"
"        65 years and over","849,055","88,773","1,258,902","520,277","5,381,202","830,284","609,116","186,808","83,483","4,280,180","1,492,743","251,923","284,932","1,968,330","1,075,927","549,815","470,409","749,625","735,541","282,960","925,143","1,129,562","1,742,595","913,661","485,061","1,050,641","206,585","309,836","473,263","249,398","1,410,226","367,811","3,126,585","1,722,701","119,579","2,028,920","626,707","754,638","2,359,442","182,222","926,722","153,438","1,128,841","3,513,978","358,790","124,046","1,324,710","1,171,489","366,082","1,010,421","98,411","673,738"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","1,768,386","278,479","2,533,931","1,075,762","12,786,049","2,128,648","1,253,707","344,221","249,106","7,459,575","3,596,624","512,571","636,414","4,390,707","2,411,501","1,154,307","1,035,098","1,631,725","1,655,152","522,044","2,050,021","2,407,924","3,676,586","2,045,864","1,067,205","2,248,899","415,318","683,539","1,055,523","525,283","2,960,049","743,883","6,590,849","3,681,272","289,374","4,288,268","1,404,052","1,545,421","4,743,600","382,238","1,847,097","327,804","2,456,302","9,232,534","1,065,672","244,340","3,030,164","2,684,022","696,420","2,172,383","220,281","1,206,627"
"        Female","1,962,950","254,672","2,603,543","1,159,653","13,246,111","2,115,562","1,365,767","380,957","287,662","8,047,740","3,985,213","501,464","646,216","4,697,329","2,566,855","1,194,480","1,068,650","1,735,777","1,808,220","556,726","2,266,900","2,649,268","3,885,878","2,111,692","1,179,118","2,401,419","416,442","705,411","1,056,409","544,932","3,210,081","778,288","7,219,981","4,048,372","278,171","4,591,201","1,471,007","1,616,783","5,066,601","418,560","2,045,244","325,590","2,673,278","9,643,008","1,068,577","254,365","3,196,459","2,725,013","723,869","2,240,505","214,571","1,372,969"
"    RACE AND HISPANIC ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
