"GEO_ID","id"
"NAME","Geographic Area Name"
"S2901_C01_001E","Total!!Estimate!!Citizens 18 years and over"
"S2901_C01_001M","Total!!Margin of Error!!Citizens 18 years and over"
"S2901_C01_002E","Total!!Estimate!!AGE!!18 to 29 years"
"S2901_C01_002M","Total!!Margin of Error!!AGE!!18 to 29 years"
"S2901_C01_003E","Total!!Estimate!!AGE!!30 to 44 years"
"S2901_C01_003M","Total!!Margin of Error!!AGE!!30 to 44 years"
"S2901_C01_004E","Total!!Estimate!!AGE!!45 to 64 years"
"S2901_C01_004M","Total!!Margin of Error!!AGE!!45 to 64 years"
"S2901_C01_005E","Total!!Estimate!!AGE!!65 years and over"
"S2901_C01_005M","Total!!Margin of Error!!AGE!!65 years and over"
"S2901_C01_006E","Total!!Estimate!!SEX!!Male"
"S2901_C01_006M","Total!!Margin of Error!!SEX!!Male"
"S2901_C01_007E","Total!!Estimate!!SEX!!Female"
"S2901_C01_007M","Total!!Margin of Error!!SEX!!Female"
"S2901_C01_008E","Total!!Estimate!!RACE AND HISPANIC ORIGIN!!White alone"
"S2901_C01_008M","Total!!Margin of Error!!RACE AND HISPANIC ORIGIN!!White alone"
"S2901_C01_009E","Total!!Estimate!!RACE AND HISPANIC ORIGIN!!Black or African American alone"
"S2901_C01_009M","Total!!Margin of Error!!RACE AND HISPANIC ORIGIN!!Black or African American alone"
"S2901_C01_010E","Total!!Estimate!!RACE AND HISPANIC ORIGIN!!Asian alone"
"S2901_C01_010M","Total!!Margin of Error!!RACE AND HISPANIC ORIGIN!!Asian alone"
"S2901_C01_011E","Total!!Estimate!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone"
"S2901_C01_011M","Total!!Margin of Error!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone"
"S2901_C01_012E","Total!!Estimate!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone"
"S2901_C01_012M","Total!!Margin of Error!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone"
"S2901_C01_013E","Total!!Estimate!!RACE AND HISPANIC ORIGIN!!Some Other Race alone"
"S2901_C01_013M","Total!!Margin of Error!!RACE AND HISPANIC ORIGIN!!Some Other Race alone"
"S2901_C01_014E","Total!!Estimate!!RACE AND HISPANIC ORIGIN!!Two or More Races"
"S2901_C01_014M","Total!!Margin of Error!!RACE AND HISPANIC ORIGIN!!Two or More Races"
"S2901_C01_015E","Total!!Estimate!!Hispanic or Latino"
"S2901_C01_015M","Total!!Margin of Error!!Hispanic or Latino"
"S2901_C01_016E","Total!!Estimate!!White alone, Not Hispanic or Latino"
"S2901_C01_016M","Total!!Margin of Error!!White alone, Not Hispanic or Latino"
"S2901_C01_017E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Less than 9th grade"
"S2901_C01_017M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Less than 9th grade"
"S2901_C01_018E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma"
"S2901_C01_018M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma"
"S2901_C01_019E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)"
"S2901_C01_019M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)"
"S2901_C01_020E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Some college, no degree"
"S2901_C01_020M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Some college, no degree"
"S2901_C01_021E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Associate's degree"
"S2901_C01_021M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Associate's degree"
"S2901_C01_022E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Bachelor's degree"
"S2901_C01_022M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Bachelor's degree"
"S2901_C01_023E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree"
"S2901_C01_023M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree"
"S2901_C01_024E","Total!!Estimate!!High school degree or higher"
"S2901_C01_024M","Total!!Margin of Error!!High school degree or higher"
"S2901_C01_025E","Total!!Estimate!!Bachelor's degree or higher"
"S2901_C01_025M","Total!!Margin of Error!!Bachelor's degree or higher"
"S2901_C01_026E","Total!!Estimate!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined"
"S2901_C01_026M","Total!!Margin of Error!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined"
"S2901_C01_027E","Total!!Estimate!!POVERTY STATUS!!Income in the past 12 months below poverty level"
"S2901_C01_027M","Total!!Margin of Error!!POVERTY STATUS!!Income in the past 12 months below poverty level"
"S2901_C01_028E","Total!!Estimate!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level"
"S2901_C01_028M","Total!!Margin of Error!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level"
"S2901_C01_029E","Total!!Estimate!!HOUSEHOLD INCOME (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder"
"S2901_C01_029M","Total!!Margin of Error!!HOUSEHOLD INCOME (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder"
"S2901_C02_001E","Percent!!Estimate!!Citizens 18 years and over"
"S2901_C02_001M","Percent!!Margin of Error!!Citizens 18 years and over"
"S2901_C02_002E","Percent!!Estimate!!AGE!!18 to 29 years"
"S2901_C02_002M","Percent!!Margin of Error!!AGE!!18 to 29 years"
"S2901_C02_003E","Percent!!Estimate!!AGE!!30 to 44 years"
"S2901_C02_003M","Percent!!Margin of Error!!AGE!!30 to 44 years"
"S2901_C02_004E","Percent!!Estimate!!AGE!!45 to 64 years"
"S2901_C02_004M","Percent!!Margin of Error!!AGE!!45 to 64 years"
"S2901_C02_005E","Percent!!Estimate!!AGE!!65 years and over"
"S2901_C02_005M","Percent!!Margin of Error!!AGE!!65 years and over"
"S2901_C02_006E","Percent!!Estimate!!SEX!!Male"
"S2901_C02_006M","Percent!!Margin of Error!!SEX!!Male"
"S2901_C02_007E","Percent!!Estimate!!SEX!!Female"
"S2901_C02_007M","Percent!!Margin of Error!!SEX!!Female"
"S2901_C02_008E","Percent!!Estimate!!RACE AND HISPANIC ORIGIN!!White alone"
"S2901_C02_008M","Percent!!Margin of Error!!RACE AND HISPANIC ORIGIN!!White alone"
"S2901_C02_009E","Percent!!Estimate!!RACE AND HISPANIC ORIGIN!!Black or African American alone"
"S2901_C02_009M","Percent!!Margin of Error!!RACE AND HISPANIC ORIGIN!!Black or African American alone"
"S2901_C02_010E","Percent!!Estimate!!RACE AND HISPANIC ORIGIN!!Asian alone"
"S2901_C02_010M","Percent!!Margin of Error!!RACE AND HISPANIC ORIGIN!!Asian alone"
"S2901_C02_011E","Percent!!Estimate!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone"
"S2901_C02_011M","Percent!!Margin of Error!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone"
"S2901_C02_012E","Percent!!Estimate!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone"
"S2901_C02_012M","Percent!!Margin of Error!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone"
"S2901_C02_013E","Percent!!Estimate!!RACE AND HISPANIC ORIGIN!!Some Other Race alone"
"S2901_C02_013M","Percent!!Margin of Error!!RACE AND HISPANIC ORIGIN!!Some Other Race alone"
"S2901_C02_014E","Percent!!Estimate!!RACE AND HISPANIC ORIGIN!!Two or More Races"
"S2901_C02_014M","Percent!!Margin of Error!!RACE AND HISPANIC ORIGIN!!Two or More Races"
"S2901_C02_015E","Percent!!Estimate!!Hispanic or Latino"
"S2901_C02_015M","Percent!!Margin of Error!!Hispanic or Latino"
"S2901_C02_016E","Percent!!Estimate!!White alone, Not Hispanic or Latino"
"S2901_C02_016M","Percent!!Margin of Error!!White alone, Not Hispanic or Latino"
"S2901_C02_017E","Percent!!Estimate!!EDUCATIONAL ATTAINMENT!!Less than 9th grade"
"S2901_C02_017M","Percent!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Less than 9th grade"
"S2901_C02_018E","Percent!!Estimate!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma"
"S2901_C02_018M","Percent!!Margin of Error!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma"
"S2901_C02_019E","Percent!!Estimate!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)"
"S2901_C02_019M","Percent!!Margin of Error!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)"
"S2901_C02_020E","Percent!!Estimate!!EDUCATIONAL ATTAINMENT!!Some college, no degree"
"S2901_C02_020M","Percent!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Some college, no degree"
"S2901_C02_021E","Percent!!Estimate!!EDUCATIONAL ATTAINMENT!!Associate's degree"
"S2901_C02_021M","Percent!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Associate's degree"
"S2901_C02_022E","Percent!!Estimate!!EDUCATIONAL ATTAINMENT!!Bachelor's degree"
"S2901_C02_022M","Percent!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Bachelor's degree"
"S2901_C02_023E","Percent!!Estimate!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree"
"S2901_C02_023M","Percent!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree"
"S2901_C02_024E","Percent!!Estimate!!High school degree or higher"
"S2901_C02_024M","Percent!!Margin of Error!!High school degree or higher"
