"GEO_ID","NAME","S2901_C01_001E","S2901_C01_001M","S2901_C01_002E","S2901_C01_002M","S2901_C01_003E","S2901_C01_003M","S2901_C01_004E","S2901_C01_004M","S2901_C01_005E","S2901_C01_005M","S2901_C01_006E","S2901_C01_006M","S2901_C01_007E","S2901_C01_007M","S2901_C01_008E","S2901_C01_008M","S2901_C01_009E","S2901_C01_009M","S2901_C01_010E","S2901_C01_010M","S2901_C01_011E","S2901_C01_011M","S2901_C01_012E","S2901_C01_012M","S2901_C01_013E","S2901_C01_013M","S2901_C01_014E","S2901_C01_014M","S2901_C01_015E","S2901_C01_015M","S2901_C01_016E","S2901_C01_016M","S2901_C01_017E","S2901_C01_017M","S2901_C01_018E","S2901_C01_018M","S2901_C01_019E","S2901_C01_019M","S2901_C01_020E","S2901_C01_020M","S2901_C01_021E","S2901_C01_021M","S2901_C01_022E","S2901_C01_022M","S2901_C01_023E","S2901_C01_023M","S2901_C01_024E","S2901_C01_024M","S2901_C01_025E","S2901_C01_025M","S2901_C01_026E","S2901_C01_026M","S2901_C01_027E","S2901_C01_027M","S2901_C01_028E","S2901_C01_028M","S2901_C01_029E","S2901_C01_029M","S2901_C02_001E","S2901_C02_001M","S2901_C02_002E","S2901_C02_002M","S2901_C02_003E","S2901_C02_003M","S2901_C02_004E","S2901_C02_004M","S2901_C02_005E","S2901_C02_005M","S2901_C02_006E","S2901_C02_006M","S2901_C02_007E","S2901_C02_007M","S2901_C02_008E","S2901_C02_008M","S2901_C02_009E","S2901_C02_009M","S2901_C02_010E","S2901_C02_010M","S2901_C02_011E","S2901_C02_011M","S2901_C02_012E","S2901_C02_012M","S2901_C02_013E","S2901_C02_013M","S2901_C02_014E","S2901_C02_014M","S2901_C02_015E","S2901_C02_015M","S2901_C02_016E","S2901_C02_016M","S2901_C02_017E","S2901_C02_017M","S2901_C02_018E","S2901_C02_018M","S2901_C02_019E","S2901_C02_019M","S2901_C02_020E","S2901_C02_020M","S2901_C02_021E","S2901_C02_021M","S2901_C02_022E","S2901_C02_022M","S2901_C02_023E","S2901_C02_023M","S2901_C02_024E","S2901_C02_024M","S2901_C02_025E","S2901_C02_025M","S2901_C02_026E","S2901_C02_026M","S2901_C02_027E","S2901_C02_027M","S2901_C02_028E","S2901_C02_028M","S2901_C02_029E","S2901_C02_029M"
"id","Geographic Area Name","Estimate!!Total!!Citizens 18 years and over","Margin of Error!!Total!!Citizens 18 years and over","Estimate!!Total!!Citizens 18 years and over!!AGE!!18 to 29 years","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!18 to 29 years","Estimate!!Total!!Citizens 18 years and over!!AGE!!30 to 44 years","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!30 to 44 years","Estimate!!Total!!Citizens 18 years and over!!AGE!!45 to 64 years","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!45 to 64 years","Estimate!!Total!!Citizens 18 years and over!!AGE!!65 years and over","Margin of Error!!Total!!Citizens 18 years and over!!AGE!!65 years and over","Estimate!!Total!!Citizens 18 years and over!!SEX!!Male","Margin of Error!!Total!!Citizens 18 years and over!!SEX!!Male","Estimate!!Total!!Citizens 18 years and over!!SEX!!Female","Margin of Error!!Total!!Citizens 18 years and over!!SEX!!Female","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Estimate!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Margin of Error!!Total!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Estimate!!Total!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Margin of Error!!Total!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Estimate!!Percent!!Citizens 18 years and over","Margin of Error!!Percent!!Citizens 18 years and over","Estimate!!Percent!!Citizens 18 years and over!!AGE!!18 to 29 years","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!18 to 29 years","Estimate!!Percent!!Citizens 18 years and over!!AGE!!30 to 44 years","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!30 to 44 years","Estimate!!Percent!!Citizens 18 years and over!!AGE!!45 to 64 years","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!45 to 64 years","Estimate!!Percent!!Citizens 18 years and over!!AGE!!65 years and over","Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!65 years and over","Estimate!!Percent!!Citizens 18 years and over!!SEX!!Male","Margin of Error!!Percent!!Citizens 18 years and over!!SEX!!Male","Estimate!!Percent!!Citizens 18 years and over!!SEX!!Female","Margin of Error!!Percent!!Citizens 18 years and over!!SEX!!Female","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Black or African American alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Asian alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!American Indian and Alaska Native alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Some Other Race alone","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Two or More Races","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!Hispanic or Latino","Estimate!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Margin of Error!!Percent!!Citizens 18 years and over!!RACE AND HISPANIC ORIGIN!!White alone, Not Hispanic or Latino","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher","Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level","Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level","Estimate!!Percent!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Margin of Error!!Percent!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder"
"0400000US01","Alabama","3731336","6395","763649","5131","875096","6488","1243536","6120","849055","4126","1768386","4711","1962950","4023","2609612","5498","996812","5976","34017","2204","N","N","N","N","23467","3571","49526","4572","80762","5002","2556191","3186","114239","6471","343166","12075","1179671","16769","875367","14742","320135","9740","568086","14398","330672","10291","3273931","14649","898758","18373","3628834","6358","490267","15512","3138567","17624","52081","589","(X)","(X)","20.5","0.1","23.5","0.2","33.3","0.2","22.8","0.1","47.4","0.1","52.6","0.1","69.9","0.1","26.7","0.2","0.9","0.1","N","N","N","N","0.6","0.1","1.3","0.1","2.2","0.1","68.5","0.1","3.1","0.2","9.2","0.3","31.6","0.4","23.5","0.4","8.6","0.3","15.2","0.4","8.9","0.3","87.7","0.4","24.1","0.5","(X)","(X)","13.5","0.4","86.5","0.4","(X)","(X)"
"0400000US02","Alaska","533151","2609","123692","3120","144125","3535","176561","3579","88773","1912","278479","2343","254672","2031","365703","3158","17746","1323","26683","2402","N","N","6247","659","8042","2390","30744","3330","31764","1315","345404","2490","9142","1512","28018","2457","160911","6429","146027","6192","44961","3276","89372","4982","54720","3733","495991","3828","144092","5857","519473","2621","45598","4376","473875","5457","75770","2685","(X)","(X)","23.2","0.5","27.0","0.7","33.1","0.6","16.7","0.4","52.2","0.3","47.8","0.3","68.6","0.5","3.3","0.2","5.0","0.4","N","N","1.2","0.1","1.5","0.4","5.8","0.6","6.0","0.2","64.8","0.4","1.7","0.3","5.3","0.5","30.2","1.2","27.4","1.2","8.4","0.6","16.8","0.9","10.3","0.7","93.0","0.5","27.0","1.1","(X)","(X)","8.8","0.9","91.2","0.9","(X)","(X)"
"0400000US04","Arizona","5137474","16329","1118272","6422","1186802","9285","1573498","9735","1258902","4845","2533931","10100","2603543","9762","4166945","19155","240721","4632","127073","4983","234229","5321","8195","1242","213705","12393","146606","6995","1231576","14889","3235378","7404","155754","8014","362896","11521","1293831","19741","1408079","23011","446537","12722","941950","14514","528427","10965","4618824","20111","1470377","16254","5010979","16367","547663","16453","4463316","25317","63622","734","(X)","(X)","21.8","0.1","23.1","0.1","30.6","0.2","24.5","0.1","49.3","0.1","50.7","0.1","81.1","0.3","4.7","0.1","2.5","0.1","4.6","0.1","0.2","0.1","4.2","0.2","2.9","0.1","24.0","0.2","63.0","0.2","3.0","0.2","7.1","0.2","25.2","0.4","27.4","0.4","8.7","0.2","18.3","0.3","10.3","0.2","89.9","0.3","28.6","0.3","(X)","(X)","10.9","0.3","89.1","0.3","(X)","(X)"
"0400000US05","Arkansas","2235415","5844","462574","3795","527303","5927","725261","5594","520277","3178","1075762","4729","1159653","4437","1782057","4200","345456","4146","24055","2256","N","N","2135","944","26066","3589","41170","3563","86066","4679","1727484","1892","75086","4379","176786","8627","783907","11756","546728","11249","165537","7388","324482","9842","162889","6679","1983543","10870","487371","12517","2161785","5872","309694","11187","1852091","12386","49182","833","(X)","(X)","20.7","0.2","23.6","0.2","32.4","0.2","23.3","0.1","48.1","0.2","51.9","0.2","79.7","0.2","15.5","0.2","1.1","0.1","N","N","0.1","0.1","1.2","0.2","1.8","0.2","3.9","0.2","77.3","0.2","3.4","0.2","7.9","0.4","35.1","0.5","24.5","0.5","7.4","0.3","14.5","0.4","7.3","0.3","88.7","0.4","21.8","0.5","(X)","(X)","14.3","0.5","85.7","0.5","(X)","(X)"
"0400000US06","California","26032160","48109","5972852","20916","6498394","23987","8179712","23621","5381202","14447","12786049","32037","13246111","27222","16517379","42167","1744654","12582","3714094","22594","222717","9803","104567","3916","2657633","38923","1071116","20672","8052745","36861","11659989","15609","1190847","21944","1636417","22739","5708023","41358","6538211","42714","2141961","24201","5677969","34638","3138732","27984","23204896","50636","8816701","42478","25468156","47496","2437713","35634","23030443","56777","83915","552","(X)","(X)","22.9","0.1","25.0","0.1","31.4","0.1","20.7","0.1","49.1","0.1","50.9","0.1","63.4","0.1","6.7","0.1","14.3","0.1","0.9","0.1","0.4","0.1","10.2","0.1","4.1","0.1","30.9","0.1","44.8","0.1","4.6","0.1","6.3","0.1","21.9","0.2","25.1","0.1","8.2","0.1","21.8","0.1","12.1","0.1","89.1","0.1","33.9","0.2","(X)","(X)","9.6","0.1","90.4","0.1","(X)","(X)"
"0400000US08","Colorado","4244210","11339","930674","6285","1139013","7358","1344239","5628","830284","3136","2128648","8907","2115562","6315","3679680","12676","169652","4943","109532","4487","42997","3799","N","N","109338","8377","126536","6303","701813","9976","3149154","4297","84166","5628","199332","8590","940499","14960","970171","15113","346707","9895","1088922","14448","614413","12211","3960712","14302","1703335","19000","4144655","11093","357383","12788","3787272","17324","78721","1014","(X)","(X)","21.9","0.1","26.8","0.1","31.7","0.1","19.6","0.1","50.2","0.1","49.8","0.1","86.7","0.2","4.0","0.1","2.6","0.1","1.0","0.1","N","N","2.6","0.2","3.0","0.1","16.5","0.2","74.2","0.2","2.0","0.1","4.7","0.2","22.2","0.3","22.9","0.4","8.2","0.2","25.7","0.3","14.5","0.3","93.3","0.2","40.1","0.4","(X)","(X)","8.6","0.3","91.4","0.3","(X)","(X)"
"0400000US09","Connecticut","2619474","10027","519013","4282","558494","5355","932851","6279","609116","3140","1253707","6831","1365767","6310","2084522","10450","276252","6195","86316","4486","N","N","N","N","102293","7465","63682","5603","329594","7123","1897088","5332","70215","4265","142773","7716","716665","14586","515552","10957","195842","7687","565281","12174","413146","10294","2406486","12471","978427","12347","2530404","9959","216409","9134","2313995","12720","80237","1018","(X)","(X)","19.8","0.1","21.3","0.2","35.6","0.2","23.3","0.1","47.9","0.2","52.1","0.2","79.6","0.3","10.5","0.2","3.3","0.2","N","N","N","N","3.9","0.3","2.4","0.2","12.6","0.2","72.4","0.3","2.7","0.2","5.5","0.3","27.4","0.5","19.7","0.4","7.5","0.3","21.6","0.5","15.8","0.4","91.9","0.3","37.4","0.5","(X)","(X)","8.6","0.4","91.4","0.4","(X)","(X)"
"0400000US10","Delaware","725178","3702","138340","2117","153789","2206","246241","2378","186808","1206","344221","2358","380957","2594","525325","3039","157024","3369","18037","1499","N","N","N","N","7816","1897","13317","2249","42220","2473","495549","1666","14176","2177","46083","3928","225659","7576","160010","5876","57123","3665","133974","6586","88153","4617","664919","5894","222127","6677","703505","3684","67395","5805","636110","6779","70866","1740","(X)","(X)","19.1","0.3","21.2","0.3","34.0","0.3","25.8","0.2","47.5","0.2","52.5","0.2","72.4","0.4","21.7","0.4","2.5","0.2","N","N","N","N","1.1","0.3","1.8","0.3","5.8","0.3","68.3","0.3","2.0","0.3","6.4","0.5","31.1","1.0","22.1","0.8","7.9","0.5","18.5","0.9","12.2","0.6","91.7","0.6","30.6","0.9","(X)","(X)","9.6","0.8","90.4","0.8","(X)","(X)"
"0400000US11","District of Columbia","536768","3759","145373","2135","173776","2625","134136","1942","83483","1289","249106","2526","287662","2811","244643","3385","243233","3697","20690","1395","N","N","N","N","11852","2791","14616","2557","41218","2404","221801","1893","12142","2661","24518","2758","93821","5601","92396","5292","16577","2540","138796","5780","158518","5497","500108","5363","297314","6005","508741","3781","61968","5480","446773","6624","93535","3014","(X)","(X)","27.1","0.4","32.4","0.4","25.0","0.3","15.6","0.2","46.4","0.4","53.6","0.4","45.6","0.6","45.3","0.7","3.9","0.3","N","N","N","N","2.2","0.5","2.7","0.5","7.7","0.4","41.3","0.3","2.3","0.5","4.6","0.5","17.5","1.0","17.2","1.0","3.1","0.5","25.9","1.1","29.5","1.0","93.2","0.8","55.4","1.0","(X)","(X)","12.2","1.1","87.8","1.1","(X)","(X)"
