"Label","California!!Estimate","California!!Percent","Colorado!!Estimate","Colorado!!Percent","Connecticut!!Estimate","Connecticut!!Percent","Delaware!!Estimate","Delaware!!Percent","District of Columbia!!Estimate","District of Columbia!!Percent","Florida!!Estimate","Florida!!Percent","Georgia!!Estimate","Georgia!!Percent","Hawaii!!Estimate","Hawaii!!Percent","Idaho!!Estimate","Idaho!!Percent","Illinois!!Estimate","Illinois!!Percent","Indiana!!Estimate","Indiana!!Percent","Iowa!!Estimate","Iowa!!Percent","Kansas!!Estimate","Kansas!!Percent","Kentucky!!Estimate","Kentucky!!Percent","Louisiana!!Estimate","Louisiana!!Percent","Maine!!Estimate","Maine!!Percent","Maryland!!Estimate","Maryland!!Percent","Massachusetts!!Estimate","Massachusetts!!Percent","Michigan!!Estimate","Michigan!!Percent","Minnesota!!Estimate","Minnesota!!Percent","Mississippi!!Estimate","Mississippi!!Percent","Missouri!!Estimate","Missouri!!Percent","Montana!!Estimate","Montana!!Percent","Nebraska!!Estimate","Nebraska!!Percent","Nevada!!Estimate","Nevada!!Percent","New Hampshire!!Estimate","New Hampshire!!Percent","New Jersey!!Estimate","New Jersey!!Percent","New Mexico!!Estimate","New Mexico!!Percent","New York!!Estimate","New York!!Percent","North Carolina!!Estimate","North Carolina!!Percent","North Dakota!!Estimate","North Dakota!!Percent","Ohio!!Estimate","Ohio!!Percent","Oklahoma!!Estimate","Oklahoma!!Percent","Oregon!!Estimate","Oregon!!Percent","Pennsylvania!!Estimate","Pennsylvania!!Percent","Rhode Island!!Estimate","Rhode Island!!Percent","South Carolina!!Estimate","South Carolina!!Percent","South Dakota!!Estimate","South Dakota!!Percent","Tennessee!!Estimate","Tennessee!!Percent","Texas!!Estimate","Texas!!Percent","Utah!!Estimate","Utah!!Percent","Vermont!!Estimate","Vermont!!Percent","Virginia!!Estimate","Virginia!!Percent","Washington!!Estimate","Washington!!Percent","West Virginia!!Estimate","West Virginia!!Percent","Wisconsin!!Estimate","Wisconsin!!Percent","Wyoming!!Estimate","Wyoming!!Percent","Puerto Rico!!Estimate","Puerto Rico!!Percent","Alabama!!Estimate","Alabama!!Percent","Alaska!!Estimate","Alaska!!Percent","Arizona!!Estimate","Arizona!!Percent","Arkansas!!Estimate","Arkansas!!Percent"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","38,041,430","38,041,430","5,187,582","5,187,582","3,590,347","3,590,347","917,092","917,092","632,323","632,323","19,317,568","19,317,568","9,919,945","9,919,945","1,392,313","1,392,313","1,595,728","1,595,728","12,875,255","12,875,255","6,537,334","6,537,334","3,074,186","3,074,186","2,885,905","2,885,905","4,380,415","4,380,415","4,601,893","4,601,893","1,329,192","1,329,192","5,884,563","5,884,563","6,646,144","6,646,144","9,883,360","9,883,360","5,379,139","5,379,139","2,984,926","2,984,926","6,021,988","6,021,988","1,005,141","1,005,141","1,855,525","1,855,525","2,758,931","2,758,931","1,320,718","1,320,718","8,864,590","8,864,590","2,085,538","2,085,538","19,570,261","19,570,261","9,752,073","9,752,073","699,628","699,628","11,544,225","11,544,225","3,814,820","3,814,820","3,899,353","3,899,353","12,763,536","12,763,536","1,050,292","1,050,292","4,723,723","4,723,723","833,354","833,354","6,456,243","6,456,243","26,059,203","26,059,203","2,855,287","2,855,287","626,011","626,011","8,185,867","8,185,867","6,897,012","6,897,012","1,855,413","1,855,413","5,726,398","5,726,398","576,412","576,412","3,667,084","3,667,084","4,822,023","4,822,023","731,449","731,449","6,553,255","6,553,255","2,949,131","2,949,131"
"    Male","18,917,773","49.7%","2,601,370","50.1%","1,749,806","48.7%","444,691","48.5%","299,036","47.3%","9,441,001","48.9%","4,851,053","48.9%","701,196","50.4%","798,712","50.1%","6,316,653","49.1%","3,217,145","49.2%","1,524,107","49.6%","1,434,617","49.7%","2,154,939","49.2%","2,248,888","48.9%","650,714","49.0%","2,849,291","48.4%","3,219,753","48.4%","4,851,429","49.1%","2,670,741","49.6%","1,442,072","48.3%","2,953,591","49.0%","503,458","50.1%","923,099","49.7%","1,391,864","50.4%","648,288","49.1%","4,321,436","48.7%","1,034,877","49.6%","9,485,872","48.5%","4,751,047","48.7%","357,591","51.1%","5,642,634","48.9%","1,889,807","49.5%","1,932,789","49.6%","6,229,333","48.8%","506,835","48.3%","2,295,781","48.6%","417,803","50.1%","3,144,756","48.7%","12,945,218","49.7%","1,435,028","50.3%","309,184","49.4%","4,015,045","49.0%","3,441,429","49.9%","911,681","49.1%","2,842,737","49.6%","292,736","50.8%","1,757,273","47.9%","2,336,291","48.5%","381,094","52.1%","3,260,687","49.8%","1,449,265","49.1%"
"    Female","19,123,657","50.3%","2,586,212","49.9%","1,840,541","51.3%","472,401","51.5%","333,287","52.7%","9,876,567","51.1%","5,068,892","51.1%","691,117","49.6%","797,016","49.9%","6,558,602","50.9%","3,320,189","50.8%","1,550,079","50.4%","1,451,288","50.3%","2,225,476","50.8%","2,353,005","51.1%","678,478","51.0%","3,035,272","51.6%","3,426,391","51.6%","5,031,931","50.9%","2,708,398","50.4%","1,542,854","51.7%","3,068,397","51.0%","501,683","49.9%","932,426","50.3%","1,367,067","49.6%","672,430","50.9%","4,543,154","51.3%","1,050,661","50.4%","10,084,389","51.5%","5,001,026","51.3%","342,037","48.9%","5,901,591","51.1%","1,925,013","50.5%","1,966,564","50.4%","6,534,203","51.2%","543,457","51.7%","2,427,942","51.4%","415,551","49.9%","3,311,487","51.3%","13,113,985","50.3%","1,420,259","49.7%","316,827","50.6%","4,170,822","51.0%","3,455,583","50.1%","943,732","50.9%","2,883,661","50.4%","283,676","49.2%","1,909,811","52.1%","2,485,732","51.5%","350,355","47.9%","3,292,568","50.2%","1,499,866","50.9%"
"    Under 5 years","2,536,810","6.7%","336,995","6.5%","193,070","5.4%","56,185","6.1%","39,002","6.2%","1,070,345","5.5%","671,105","6.8%","89,013","6.4%","113,736","7.1%","814,027","6.3%","424,157","6.5%","195,997","6.4%","201,418","7.0%","276,673","6.3%","309,280","6.7%","66,190","5.0%","364,625","6.2%","363,859","5.5%","571,645","5.8%","347,581","6.5%","202,396","6.8%","374,591","6.2%","58,839","5.9%","132,001","7.1%","182,912","6.6%","65,506","5.0%","526,587","5.9%","143,036","6.9%","1,164,322","5.9%","611,752","6.3%","45,120","6.4%","690,055","6.0%","262,161","6.9%","232,113","6.0%","718,316","5.6%","56,147","5.3%","294,537","6.2%","58,683","7.0%","400,023","6.2%","1,932,848","7.4%","257,929","9.0%","31,011","5.0%","507,071","6.2%","440,973","6.4%","105,263","5.7%","351,235","6.1%","38,016","6.6%","209,354","5.7%","301,808","6.3%","53,934","7.4%","437,772","6.7%","191,656","6.5%"
"    5 to 9 years","2,536,490","6.7%","359,636","6.9%","216,202","6.0%","57,043","6.2%","30,392","4.8%","1,111,245","5.8%","702,757","7.1%","83,474","6.0%","118,556","7.4%","842,260","6.5%","440,352","6.7%","201,963","6.6%","202,554","7.0%","280,704","6.4%","307,762","6.7%","76,892","5.8%","375,963","6.4%","378,925","5.7%","618,518","6.3%","365,611","6.8%","210,196","7.0%","394,277","6.5%","66,172","6.6%","132,414","7.1%","186,423","6.8%","74,014","5.6%","555,966","6.3%","149,288","7.2%","1,143,922","5.8%","651,304","6.7%","44,976","6.4%","735,013","6.4%","265,322","7.0%","242,870","6.2%","748,822","5.9%","56,113","5.3%","307,136","6.5%","58,764","7.1%","417,345","6.5%","1,962,557","7.5%","252,550","8.8%","32,904","5.3%","516,233","6.3%","429,195","6.2%","105,721","5.7%","370,241","6.5%","38,616","6.7%","232,111","6.3%","312,832","6.5%","52,205","7.1%","454,375","6.9%","205,513","7.0%"
"    10 to 14 years","2,552,120","6.7%","338,559","6.5%","235,401","6.6%","57,116","6.2%","23,874","3.8%","1,119,421","5.8%","715,967","7.2%","82,207","5.9%","123,915","7.8%","874,322","6.8%","453,902","6.9%","203,907","6.6%","200,661","7.0%","292,117","6.7%","321,319","7.0%","74,288","5.6%","370,233","6.3%","405,220","6.1%","662,279","6.7%","350,518","6.5%","212,355","7.1%","396,481","6.6%","58,443","5.8%","125,824","6.8%","185,029","6.7%","83,168","6.3%","585,184","6.6%","139,000","6.7%","1,199,048","6.1%","648,642","6.7%","39,695","5.7%","767,329","6.6%","260,737","6.8%","239,135","6.1%","776,618","6.1%","65,263","6.2%","303,998","6.4%","53,892","6.5%","422,473","6.5%","1,961,145","7.5%","243,939","8.5%","36,885","5.9%","519,996","6.4%","450,113","6.5%","108,817","5.9%","370,588","6.5%","38,526","6.7%","247,073","6.7%","321,323","6.7%","50,912","7.0%","458,089","7.0%","197,994","6.7%"
"    15 to 19 years","2,718,832","7.1%","342,417","6.6%","257,301","7.2%","62,400","6.8%","39,815","6.3%","1,193,173","6.2%","710,669","7.2%","82,212","5.9%","113,794","7.1%","893,224","6.9%","462,455","7.1%","210,664","6.9%","207,793","7.2%","289,298","6.6%","314,869","6.8%","85,514","6.4%","394,552","6.7%","469,323","7.1%","700,929","7.1%","360,976","6.7%","224,918","7.5%","410,709","6.8%","63,205","6.3%","125,952","6.8%","175,794","6.4%","93,131","7.1%","587,914","6.6%","150,331","7.2%","1,314,125","6.7%","660,015","6.8%","48,962","7.0%","792,974","6.9%","258,439","6.8%","247,170","6.3%","873,913","6.8%","76,095","7.2%","319,933","6.8%","59,542","7.1%","427,789","6.6%","1,888,916","7.2%","222,349","7.8%","45,351","7.2%","554,242","6.8%","446,668","6.5%","111,971","6.0%","391,173","6.8%","38,799","6.7%","277,622","7.6%","331,780","6.9%","50,042","6.8%","449,930","6.9%","198,127","6.7%"
"    20 to 24 years","2,917,394","7.7%","365,321","7.0%","230,395","6.4%","65,736","7.2%","59,709","9.4%","1,319,637","6.8%","715,609","7.2%","103,126","7.4%","112,941","7.1%","892,527","6.9%","477,523","7.3%","224,662","7.3%","210,255","7.3%","306,162","7.0%","342,058","7.4%","79,291","6.0%","407,055","6.9%","472,208","7.1%","708,971","7.2%","353,709","6.6%","223,093","7.5%","422,289","7.0%","71,712","7.1%","132,426","7.1%","188,131","6.8%","85,016","6.4%","559,587","6.3%","143,553","6.9%","1,439,083","7.4%","690,477","7.1%","62,971","9.0%","788,138","6.8%","280,705","7.4%","266,293","6.8%","889,550","7.0%","84,403","8.0%","346,503","7.3%","58,181","7.0%","452,140","7.0%","1,923,358","7.4%","237,185","8.3%","44,912","7.2%","583,559","7.1%","484,204","7.0%","127,440","6.9%","388,991","6.8%","41,513","7.2%","268,787","7.3%","344,634","7.1%","59,762","8.2%","472,625","7.2%","206,459","7.0%"
"    25 to 34 years","5,474,318","14.4%","756,564","14.6%","432,609","12.0%","113,848","12.4%","138,878","22.0%","2,381,017","12.3%","1,349,901","13.6%","199,308","14.3%","210,429","13.2%","1,782,088","13.8%","831,240","12.7%","389,631","12.7%","383,049","13.3%","561,750","12.8%","644,935","14.0%","147,351","11.1%","801,626","13.6%","886,716","13.3%","1,172,289","11.9%","737,436","13.7%","374,529","12.5%","790,238","13.1%","123,950","12.3%","249,263","13.4%","394,004","14.3%","148,055","11.2%","1,128,566","12.7%","274,879","13.2%","2,755,074","14.1%","1,252,143","12.8%","98,752","14.1%","1,430,201","12.4%","516,852","13.5%","532,957","13.7%","1,572,037","12.3%","128,901","12.3%","599,125","12.7%","110,630","13.3%","843,449","13.1%","3,751,515","14.4%","445,114","15.6%","70,300","11.2%","1,138,612","13.9%","970,606","14.1%","218,051","11.8%","734,480","12.8%","80,079","13.9%","456,664","12.5%","608,843","12.6%","109,331","14.9%","875,914","13.4%","379,413","12.9%"
