"Label","Alabama!!Estimate","Alabama!!Percent","Alaska!!Estimate","Alaska!!Percent","Arizona!!Estimate","Arizona!!Percent","Arkansas!!Estimate","Arkansas!!Percent","California!!Estimate","California!!Percent","Colorado!!Estimate","Colorado!!Percent","Connecticut!!Estimate","Connecticut!!Percent","Delaware!!Estimate","Delaware!!Percent","District of Columbia!!Estimate","District of Columbia!!Percent","Florida!!Estimate","Florida!!Percent","Georgia!!Estimate","Georgia!!Percent","Hawaii!!Estimate","Hawaii!!Percent","Idaho!!Estimate","Idaho!!Percent","Illinois!!Estimate","Illinois!!Percent","Indiana!!Estimate","Indiana!!Percent","Iowa!!Estimate","Iowa!!Percent","Kansas!!Estimate","Kansas!!Percent","Kentucky!!Estimate","Kentucky!!Percent","Louisiana!!Estimate","Louisiana!!Percent","Maine!!Estimate","Maine!!Percent","Maryland!!Estimate","Maryland!!Percent","Massachusetts!!Estimate","Massachusetts!!Percent","Michigan!!Estimate","Michigan!!Percent","Minnesota!!Estimate","Minnesota!!Percent","Mississippi!!Estimate","Mississippi!!Percent","Missouri!!Estimate","Missouri!!Percent","Montana!!Estimate","Montana!!Percent","Nebraska!!Estimate","Nebraska!!Percent","Nevada!!Estimate","Nevada!!Percent","New Hampshire!!Estimate","New Hampshire!!Percent","New Jersey!!Estimate","New Jersey!!Percent","New Mexico!!Estimate","New Mexico!!Percent","New York!!Estimate","New York!!Percent","North Carolina!!Estimate","North Carolina!!Percent","North Dakota!!Estimate","North Dakota!!Percent","Ohio!!Estimate","Ohio!!Percent","Oklahoma!!Estimate","Oklahoma!!Percent","Oregon!!Estimate","Oregon!!Percent","Pennsylvania!!Estimate","Pennsylvania!!Percent","Rhode Island!!Estimate","Rhode Island!!Percent","South Carolina!!Estimate","South Carolina!!Percent","South Dakota!!Estimate","South Dakota!!Percent","Tennessee!!Estimate","Tennessee!!Percent","Texas!!Estimate","Texas!!Percent","Utah!!Estimate","Utah!!Percent","Vermont!!Estimate","Vermont!!Percent","Virginia!!Estimate","Virginia!!Percent","Washington!!Estimate","Washington!!Percent","West Virginia!!Estimate","West Virginia!!Percent","Wisconsin!!Estimate","Wisconsin!!Percent","Wyoming!!Estimate","Wyoming!!Percent","Puerto Rico!!Estimate","Puerto Rico!!Percent"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","4,874,747","4,874,747","739,795","739,795","7,016,270","7,016,270","3,004,279","3,004,279","39,536,653","39,536,653","5,607,154","5,607,154","3,588,184","3,588,184","961,939","961,939","693,972","693,972","20,984,400","20,984,400","10,429,379","10,429,379","1,427,538","1,427,538","1,716,943","1,716,943","12,802,023","12,802,023","6,666,818","6,666,818","3,145,711","3,145,711","2,913,123","2,913,123","4,454,189","4,454,189","4,684,333","4,684,333","1,335,907","1,335,907","6,052,177","6,052,177","6,859,819","6,859,819","9,962,311","9,962,311","5,576,606","5,576,606","2,984,100","2,984,100","6,113,532","6,113,532","1,050,493","1,050,493","1,920,076","1,920,076","2,998,039","2,998,039","1,342,795","1,342,795","9,005,644","9,005,644","2,088,070","2,088,070","19,849,399","19,849,399","10,273,419","10,273,419","755,393","755,393","11,658,609","11,658,609","3,930,864","3,930,864","4,142,776","4,142,776","12,805,537","12,805,537","1,059,639","1,059,639","5,024,369","5,024,369","869,666","869,666","6,715,984","6,715,984","28,304,596","28,304,596","3,101,833","3,101,833","623,657","623,657","8,470,020","8,470,020","7,405,743","7,405,743","1,815,857","1,815,857","5,795,483","5,795,483","579,315","579,315","3,337,177","3,337,177"
"        Male","2,359,896","48.4%","385,776","52.1%","3,487,722","49.7%","1,479,682","49.3%","19,650,051","49.7%","2,820,169","50.3%","1,750,647","48.8%","465,510","48.4%","329,078","47.4%","10,254,267","48.9%","5,070,721","48.6%","716,350","50.2%","862,720","50.2%","6,294,900","49.2%","3,286,152","49.3%","1,562,265","49.7%","1,452,573","49.9%","2,194,850","49.3%","2,289,695","48.9%","654,763","49.0%","2,935,822","48.5%","3,333,270","48.6%","4,907,242","49.3%","2,780,714","49.9%","1,446,473","48.5%","3,002,694","49.1%","526,357","50.1%","959,273","50.0%","1,506,252","50.2%","665,741","49.6%","4,396,848","48.8%","1,034,144","49.5%","9,637,896","48.6%","4,998,538","48.7%","388,300","51.4%","5,709,254","49.0%","1,948,986","49.6%","2,054,016","49.6%","6,272,521","49.0%","513,198","48.4%","2,436,902","48.5%","438,429","50.4%","3,272,135","48.7%","14,062,701","49.7%","1,563,433","50.4%","307,810","49.4%","4,163,754","49.2%","3,698,615","49.9%","897,166","49.4%","2,880,454","49.7%","295,779","51.1%","1,591,997","47.7%"
"        Female","2,514,851","51.6%","354,019","47.9%","3,528,548","50.3%","1,524,597","50.7%","19,886,602","50.3%","2,786,985","49.7%","1,837,537","51.2%","496,429","51.6%","364,894","52.6%","10,730,133","51.1%","5,358,658","51.4%","711,188","49.8%","854,223","49.8%","6,507,123","50.8%","3,380,666","50.7%","1,583,446","50.3%","1,460,550","50.1%","2,259,339","50.7%","2,394,638","51.1%","681,144","51.0%","3,116,355","51.5%","3,526,549","51.4%","5,055,069","50.7%","2,795,892","50.1%","1,537,627","51.5%","3,110,838","50.9%","524,136","49.9%","960,803","50.0%","1,491,787","49.8%","677,054","50.4%","4,608,796","51.2%","1,053,926","50.5%","10,211,503","51.4%","5,274,881","51.3%","367,093","48.6%","5,949,355","51.0%","1,981,878","50.4%","2,088,760","50.4%","6,533,016","51.0%","546,441","51.6%","2,587,467","51.5%","431,237","49.6%","3,443,849","51.3%","14,241,895","50.3%","1,538,400","49.6%","315,847","50.6%","4,306,266","50.8%","3,707,128","50.1%","918,691","50.6%","2,915,029","50.3%","283,536","48.9%","1,745,180","52.3%"
"        Sex ratio (males per 100 females)","93.8","(X)","109.0","(X)","98.8","(X)","97.1","(X)","98.8","(X)","101.2","(X)","95.3","(X)","93.8","(X)","90.2","(X)","95.6","(X)","94.6","(X)","100.7","(X)","101.0","(X)","96.7","(X)","97.2","(X)","98.7","(X)","99.5","(X)","97.1","(X)","95.6","(X)","96.1","(X)","94.2","(X)","94.5","(X)","97.1","(X)","99.5","(X)","94.1","(X)","96.5","(X)","100.4","(X)","99.8","(X)","101.0","(X)","98.3","(X)","95.4","(X)","98.1","(X)","94.4","(X)","94.8","(X)","105.8","(X)","96.0","(X)","98.3","(X)","98.3","(X)","96.0","(X)","93.9","(X)","94.2","(X)","101.7","(X)","95.0","(X)","98.7","(X)","101.6","(X)","97.5","(X)","96.7","(X)","99.8","(X)","97.7","(X)","98.8","(X)","104.3","(X)","91.2","(X)"
"    Under 5 years","288,897","5.9%","52,919","7.2%","435,041","6.2%","186,640","6.2%","2,460,425","6.2%","332,593","5.9%","182,194","5.1%","54,907","5.7%","45,065","6.5%","1,129,322","5.4%","655,223","6.3%","89,573","6.3%","116,226","6.8%","767,348","6.0%","419,552","6.3%","198,623","6.3%","193,049","6.6%","276,356","6.2%","306,213","6.5%","64,390","4.8%","363,313","6.0%","360,336","5.3%","572,370","5.7%","353,860","6.3%","182,467","6.1%","374,001","6.1%","61,405","5.8%","131,679","6.9%","184,055","6.1%","63,523","4.7%","520,361","5.8%","126,427","6.1%","1,157,597","5.8%","601,181","5.9%","52,802","7.0%","695,130","6.0%","262,561","6.7%","232,253","5.6%","705,018","5.5%","55,019","5.2%","289,539","5.8%","60,460","7.0%","405,128","6.0%","2,020,164","7.1%","253,089","8.2%","30,096","4.8%","501,972","5.9%","455,015","6.1%","97,887","5.4%","333,985","5.8%","37,910","6.5%","146,699","4.4%"
"    5 to 9 years","299,117","6.1%","54,491","7.4%","439,162","6.3%","199,930","6.7%","2,468,508","6.2%","346,265","6.2%","195,071","5.4%","56,924","5.9%","36,908","5.3%","1,140,517","5.4%","688,623","6.6%","86,081","6.0%","119,492","7.0%","777,382","6.1%","434,312","6.5%","203,009","6.5%","207,461","7.1%","279,149","6.3%","305,733","6.5%","69,707","5.2%","364,376","6.0%","364,268","5.3%","581,055","5.8%","361,500","6.5%","194,302","6.5%","375,209","6.1%","64,135","6.1%","130,641","6.8%","193,972","6.5%","68,021","5.1%","533,631","5.9%","134,970","6.5%","1,117,817","5.6%","629,442","6.1%","49,455","6.5%","702,748","6.0%","264,705","6.7%","242,751","5.9%","709,879","5.5%","55,184","5.2%","307,672","6.1%","60,363","6.9%","406,018","6.0%","2,014,510","7.1%","258,779","8.3%","31,828","5.1%","513,476","6.1%","465,172","6.3%","104,233","5.7%","347,700","6.0%","40,293","7.0%","172,834","5.2%"
"    10 to 14 years","314,609","6.5%","48,746","6.6%","478,839","6.8%","199,660","6.6%","2,597,863","6.6%","369,721","6.6%","224,082","6.2%","57,597","6.0%","26,838","3.9%","1,200,363","5.7%","735,809","7.1%","84,064","5.9%","131,776","7.7%","844,216","6.6%","448,343","6.7%","206,217","6.6%","193,992","6.7%","286,155","6.4%","311,993","6.7%","73,513","5.5%","387,944","6.4%","396,449","5.8%","628,301","6.3%","367,960","6.6%","214,312","7.2%","400,738","6.6%","65,625","6.2%","136,511","7.1%","190,212","6.3%","77,507","5.8%","574,204","6.4%","144,707","6.9%","1,163,438","5.9%","665,657","6.5%","46,420","6.1%","744,908","6.4%","274,269","7.0%","250,856","6.1%","779,203","6.1%","59,103","5.6%","317,060","6.3%","58,561","6.7%","437,851","6.5%","2,105,315","7.4%","262,032","8.4%","34,982","5.6%","534,952","6.3%","456,754","6.2%","107,906","5.9%","374,137","6.5%","38,498","6.6%","205,425","6.2%"
"    15 to 19 years","336,176","6.9%","47,758","6.5%","476,414","6.8%","209,425","7.0%","2,569,487","6.5%","361,580","6.4%","244,257","6.8%","59,926","6.2%","36,253","5.2%","1,228,077","5.9%","743,722","7.1%","76,644","5.4%","126,390","7.4%","845,473","6.6%","463,660","7.0%","219,467","7.0%","202,392","6.9%","301,177","6.8%","321,797","6.9%","82,287","6.2%","381,890","6.3%","460,059","6.7%","666,157","6.7%","361,857","6.5%","225,268","7.5%","405,662","6.6%","64,773","6.2%","128,798","6.7%","181,284","6.0%","86,749","6.5%","575,850","6.4%","146,388","7.0%","1,237,311","6.2%","694,964","6.8%","47,099","6.2%","776,500","6.7%","273,420","7.0%","252,475","6.1%","823,389","6.4%","74,913","7.1%","336,804","6.7%","57,162","6.6%","441,907","6.6%","2,029,893","7.2%","244,357","7.9%","40,017","6.4%","550,916","6.5%","445,939","6.0%","114,946","6.3%","379,515","6.5%","38,542","6.7%","231,633","6.9%"
"    20 to 24 years","326,341","6.7%","54,320","7.3%","475,452","6.8%","200,226","6.7%","2,761,097","7.0%","374,927","6.7%","248,726","6.9%","58,899","6.1%","54,294","7.8%","1,265,944","6.0%","709,976","6.8%","93,432","6.5%","111,271","6.5%","860,547","6.7%","465,634","7.0%","224,486","7.1%","211,701","7.3%","292,399","6.6%","318,320","6.8%","74,270","5.6%","387,050","6.4%","490,134","7.1%","695,118","7.0%","353,013","6.3%","208,410","7.0%","407,647","6.7%","70,889","6.7%","133,193","6.9%","185,336","6.2%","88,990","6.6%","567,060","6.3%","144,103","6.9%","1,352,104","6.8%","690,990","6.7%","63,713","8.4%","757,438","6.5%","269,495","6.9%","263,246","6.4%","827,206","6.5%","78,451","7.4%","329,443","6.6%","58,561","6.7%","436,627","6.5%","1,985,368","7.0%","256,541","8.3%","47,467","7.6%","589,483","7.0%","480,895","6.5%","111,535","6.1%","401,915","6.9%","36,372","6.3%","236,911","7.1%"
