"Label","Illinois!!Estimate","Illinois!!Percent","Iowa!!Estimate","Iowa!!Percent","Missouri!!Estimate","Missouri!!Percent","Nevada!!Estimate","Nevada!!Percent","Pennsylvania!!Estimate","Pennsylvania!!Percent","Utah!!Estimate","Utah!!Percent","West Virginia!!Estimate","West Virginia!!Percent","Colorado!!Estimate","Colorado!!Percent","Georgia!!Estimate","Georgia!!Percent","Idaho!!Estimate","Idaho!!Percent","Maryland!!Estimate","Maryland!!Percent","New Jersey!!Estimate","New Jersey!!Percent","New Mexico!!Estimate","New Mexico!!Percent","Ohio!!Estimate","Ohio!!Percent","Alaska!!Estimate","Alaska!!Percent","Florida!!Estimate","Florida!!Percent","Hawaii!!Estimate","Hawaii!!Percent","Massachusetts!!Estimate","Massachusetts!!Percent","South Carolina!!Estimate","South Carolina!!Percent","District of Columbia!!Estimate","District of Columbia!!Percent","Maine!!Estimate","Maine!!Percent","North Carolina!!Estimate","North Carolina!!Percent","South Dakota!!Estimate","South Dakota!!Percent","Alabama!!Estimate","Alabama!!Percent","Indiana!!Estimate","Indiana!!Percent","Kentucky!!Estimate","Kentucky!!Percent","Louisiana!!Estimate","Louisiana!!Percent","Tennessee!!Estimate","Tennessee!!Percent","Vermont!!Estimate","Vermont!!Percent","Washington!!Estimate","Washington!!Percent","Michigan!!Estimate","Michigan!!Percent","Nebraska!!Estimate","Nebraska!!Percent","New Hampshire!!Estimate","New Hampshire!!Percent","Oklahoma!!Estimate","Oklahoma!!Percent","Oregon!!Estimate","Oregon!!Percent","Rhode Island!!Estimate","Rhode Island!!Percent","Wisconsin!!Estimate","Wisconsin!!Percent","Wyoming!!Estimate","Wyoming!!Percent","Puerto Rico!!Estimate","Puerto Rico!!Percent","Arkansas!!Estimate","Arkansas!!Percent","California!!Estimate","California!!Percent","Delaware!!Estimate","Delaware!!Percent","Kansas!!Estimate","Kansas!!Percent","Minnesota!!Estimate","Minnesota!!Percent","Mississippi!!Estimate","Mississippi!!Percent","Montana!!Estimate","Montana!!Percent","Virginia!!Estimate","Virginia!!Percent","Arizona!!Estimate","Arizona!!Percent","Connecticut!!Estimate","Connecticut!!Percent","New York!!Estimate","New York!!Percent","North Dakota!!Estimate","North Dakota!!Percent","Texas!!Estimate","Texas!!Percent"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","12,741,080","12,741,080","3,156,145","3,156,145","6,126,452","6,126,452","3,034,392","3,034,392","12,807,060","12,807,060","3,161,105","3,161,105","1,805,832","1,805,832","5,695,564","5,695,564","10,519,475","10,519,475","1,754,208","1,754,208","6,042,718","6,042,718","8,908,520","8,908,520","2,095,428","2,095,428","11,689,442","11,689,442","737,438","737,438","21,299,325","21,299,325","1,420,491","1,420,491","6,902,149","6,902,149","5,084,127","5,084,127","702,455","702,455","1,338,404","1,338,404","10,383,620","10,383,620","882,235","882,235","4,887,871","4,887,871","6,691,878","6,691,878","4,468,402","4,468,402","4,659,978","4,659,978","6,770,010","6,770,010","626,299","626,299","7,535,591","7,535,591","9,995,915","9,995,915","1,929,268","1,929,268","1,356,458","1,356,458","3,943,079","3,943,079","4,190,713","4,190,713","1,057,315","1,057,315","5,813,568","5,813,568","577,737","577,737","3,195,153","3,195,153","3,013,825","3,013,825","39,557,045","39,557,045","967,171","967,171","2,911,510","2,911,510","5,611,179","5,611,179","2,986,530","2,986,530","1,062,305","1,062,305","8,517,685","8,517,685","7,171,646","7,171,646","3,572,665","3,572,665","19,542,209","19,542,209","760,077","760,077","28,701,845","28,701,845"
"        Male","6,266,062","49.2%","1,564,888","49.6%","3,003,165","49.0%","1,522,374","50.2%","6,271,620","49.0%","1,592,457","50.4%","894,657","49.5%","2,864,761","50.3%","5,120,290","48.7%","882,158","50.3%","2,930,350","48.5%","4,350,386","48.8%","1,039,641","49.6%","5,732,095","49.0%","382,952","51.9%","10,404,676","48.8%","710,702","50.0%","3,350,887","48.5%","2,468,707","48.6%","334,208","47.6%","655,734","49.0%","5,052,244","48.7%","445,271","50.5%","2,369,271","48.5%","3,295,973","49.3%","2,199,021","49.2%","2,276,530","48.9%","3,302,191","48.8%","308,118","49.2%","3,766,859","50.0%","4,926,816","49.3%","961,213","49.8%","669,442","49.4%","1,950,076","49.5%","2,079,943","49.6%","515,900","48.8%","2,891,282","49.7%","292,619","50.6%","1,520,415","47.6%","1,476,680","49.0%","19,673,553","49.7%","467,924","48.4%","1,449,745","49.8%","2,793,980","49.8%","1,446,829","48.4%","534,782","50.3%","4,190,738","49.2%","3,565,129","49.7%","1,740,533","48.7%","9,491,313","48.6%","391,222","51.5%","14,250,184","49.6%"
"        Female","6,475,018","50.8%","1,591,257","50.4%","3,123,287","51.0%","1,512,018","49.8%","6,535,440","51.0%","1,568,648","49.6%","911,175","50.5%","2,830,803","49.7%","5,399,185","51.3%","872,050","49.7%","3,112,368","51.5%","4,558,134","51.2%","1,055,787","50.4%","5,957,347","51.0%","354,486","48.1%","10,894,649","51.2%","709,789","50.0%","3,551,262","51.5%","2,615,420","51.4%","368,247","52.4%","682,670","51.0%","5,331,376","51.3%","436,964","49.5%","2,518,600","51.5%","3,395,905","50.7%","2,269,381","50.8%","2,383,448","51.1%","3,467,819","51.2%","318,181","50.8%","3,768,732","50.0%","5,069,099","50.7%","968,055","50.2%","687,016","50.6%","1,993,003","50.5%","2,110,770","50.4%","541,415","51.2%","2,922,286","50.3%","285,118","49.4%","1,674,738","52.4%","1,537,145","51.0%","19,883,492","50.3%","499,247","51.6%","1,461,765","50.2%","2,817,199","50.2%","1,539,701","51.6%","527,523","49.7%","4,326,947","50.8%","3,606,517","50.3%","1,832,132","51.3%","10,050,896","51.4%","368,855","48.5%","14,451,661","50.4%"
"        Sex ratio (males per 100 females)","96.8","(X)","98.3","(X)","96.2","(X)","100.7","(X)","96.0","(X)","101.5","(X)","98.2","(X)","101.2","(X)","94.8","(X)","101.2","(X)","94.2","(X)","95.4","(X)","98.5","(X)","96.2","(X)","108.0","(X)","95.5","(X)","100.1","(X)","94.4","(X)","94.4","(X)","90.8","(X)","96.1","(X)","94.8","(X)","101.9","(X)","94.1","(X)","97.1","(X)","96.9","(X)","95.5","(X)","95.2","(X)","96.8","(X)","100.0","(X)","97.2","(X)","99.3","(X)","97.4","(X)","97.8","(X)","98.5","(X)","95.3","(X)","98.9","(X)","102.6","(X)","90.8","(X)","96.1","(X)","98.9","(X)","93.7","(X)","99.2","(X)","99.2","(X)","94.0","(X)","101.4","(X)","96.9","(X)","98.9","(X)","95.0","(X)","94.4","(X)","106.1","(X)","98.6","(X)"
"        Under 5 years","759,456","6.0%","197,883","6.3%","370,408","6.0%","184,539","6.1%","700,416","5.5%","250,194","7.9%","93,922","5.2%","335,642","5.9%","645,488","6.1%","113,693","6.5%","361,435","6.0%","517,694","5.8%","118,494","5.7%","693,129","5.9%","52,173","7.1%","1,135,392","5.3%","87,437","6.2%","357,223","5.2%","287,356","5.7%","45,490","6.5%","63,410","4.7%","597,192","5.8%","60,427","6.8%","288,589","5.9%","417,774","6.2%","273,489","6.1%","301,857","6.5%","404,439","6.0%","28,810","4.6%","458,194","6.1%","569,183","5.7%","131,156","6.8%","62,857","4.6%","258,036","6.5%","230,515","5.5%","54,430","5.1%","330,651","5.7%","35,395","6.1%","125,796","3.9%","188,092","6.2%","2,428,493","6.1%","54,335","5.6%","186,990","6.4%","354,932","6.3%","177,761","6.0%","61,688","5.8%","502,102","5.9%","434,032","6.1%","181,224","5.1%","1,139,842","5.8%","52,175","6.9%","2,010,781","7.0%"
"        5 to 9 years","762,237","6.0%","197,454","6.3%","373,737","6.1%","188,880","6.2%","708,163","5.5%","257,110","8.1%","97,203","5.4%","352,145","6.2%","683,042","6.5%","123,959","7.1%","364,571","6.0%","517,905","5.8%","127,795","6.1%","691,126","5.9%","52,544","7.1%","1,127,602","5.3%","84,434","5.9%","369,278","5.4%","307,540","6.0%","32,857","4.7%","67,860","5.1%","620,626","6.0%","58,765","6.7%","290,369","5.9%","430,155","6.4%","279,978","6.3%","297,439","6.4%","413,172","6.1%","32,019","5.1%","466,487","6.2%","587,011","5.9%","129,861","6.7%","68,935","5.1%","262,116","6.6%","236,914","5.7%","56,691","5.4%","342,754","5.9%","34,937","6.0%","167,470","5.2%","192,523","6.4%","2,398,894","6.1%","51,828","5.4%","190,475","6.5%","360,713","6.4%","191,591","6.4%","61,732","5.8%","514,779","6.0%","441,613","6.2%","191,879","5.4%","1,078,979","5.5%","50,804","6.7%","1,984,419","6.9%"
"        10 to 14 years","838,140","6.6%","215,222","6.8%","401,199","6.5%","201,625","6.6%","775,827","6.1%","270,952","8.6%","107,390","5.9%","364,535","6.4%","739,018","7.0%","129,947","7.4%","385,477","6.4%","573,092","6.4%","151,078","7.2%","752,239","6.4%","49,747","6.7%","1,244,592","5.8%","84,576","6.0%","392,598","5.7%","323,598","6.4%","33,386","4.8%","72,549","5.4%","679,947","6.5%","61,566","7.0%","321,430","6.6%","451,395","6.7%","285,833","6.4%","317,930","6.8%","434,765","6.4%","33,938","5.4%","468,155","6.2%","619,055","6.2%","136,769","7.1%","76,872","5.7%","277,994","7.1%","253,861","6.1%","55,343","5.2%","374,768","6.4%","40,645","7.0%","181,046","5.7%","203,502","6.8%","2,646,096","6.7%","62,410","6.5%","208,695","7.2%","370,367","6.6%","216,172","7.2%","67,916","6.4%","534,414","6.3%","488,738","6.8%","224,026","6.3%","1,154,737","5.9%","47,274","6.2%","2,171,522","7.6%"
"        15 to 19 years","835,845","6.6%","220,659","7.0%","391,923","6.4%","182,398","6.0%","815,621","6.4%","250,173","7.9%","112,776","6.2%","368,833","6.5%","754,377","7.2%","127,012","7.2%","379,728","6.3%","556,312","6.2%","142,717","6.8%","773,272","6.6%","48,514","6.6%","1,234,024","5.8%","77,860","5.5%","457,341","6.6%","340,480","6.7%","37,568","5.3%","77,325","5.8%","701,383","6.8%","59,836","6.8%","332,209","6.8%","459,222","6.9%","288,944","6.5%","308,126","6.6%","439,465","6.5%","42,229","6.7%","452,515","6.0%","660,528","6.6%","132,609","6.9%","91,832","6.8%","270,953","6.9%","252,056","6.0%","74,635","7.1%","378,566","6.5%","40,744","7.1%","210,051","6.6%","208,021","6.9%","2,557,470","6.5%","59,345","6.1%","204,915","7.0%","356,388","6.4%","219,044","7.3%","67,386","6.3%","564,667","6.6%","477,306","6.7%","242,294","6.8%","1,202,251","6.2%","46,455","6.1%","2,069,341","7.2%"
"        20 to 24 years","839,026","6.6%","220,135","7.0%","406,398","6.6%","180,376","5.9%","812,406","6.3%","260,774","8.2%","113,760","6.3%","374,122","6.6%","719,378","6.8%","115,850","6.6%","384,168","6.4%","554,274","6.2%","138,863","6.6%","752,641","6.4%","49,107","6.7%","1,255,590","5.9%","90,595","6.4%","492,981","7.1%","332,798","6.5%","52,978","7.5%","73,878","5.5%","682,328","6.6%","58,791","6.7%","317,810","6.5%","465,439","7.0%","300,744","6.7%","308,893","6.6%","437,346","6.5%","43,479","6.9%","475,177","6.3%","690,292","6.9%","132,433","6.9%","85,214","6.3%","266,367","6.8%","264,987","6.3%","75,521","7.1%","394,807","6.8%","32,880","5.7%","222,760","7.0%","199,748","6.6%","2,710,448","6.9%","59,553","6.2%","209,009","7.2%","359,550","6.4%","204,679","6.9%","67,822","6.4%","579,716","6.8%","489,653","6.8%","239,846","6.7%","1,294,057","6.6%","62,590","8.2%","1,988,685","6.9%"
